t_unix,pid,cpu_pct_user,cpu_pct_system,cpu_pct_total,rss_kb
1777916259,3649273,106.00,2.00,108.00,822124
1777916260,3649273,106.00,2.00,108.00,822124
1777916261,3649273,107.00,2.00,109.00,822124
1777916262,3649273,108.00,2.00,110.00,822124
1777916263,3649273,105.00,4.00,109.00,822124
1777916264,3649273,107.00,1.00,108.00,822124
1777916265,3649273,106.00,2.00,108.00,822124
1777916266,3649273,107.00,2.00,109.00,822124
1777916267,3649273,107.00,2.00,109.00,822124
1777916268,3649273,107.00,3.00,110.00,822124
1777916269,3649273,105.00,2.00,107.00,822124
1777916270,3649273,108.00,2.00,110.00,822124
1777916271,3649273,106.00,3.00,109.00,822124
1777916272,3649273,106.00,2.00,108.00,822124
1777916273,3649273,106.00,3.00,109.00,822124
1777916274,3649273,106.00,2.00,108.00,822124
1777916275,3649273,106.00,2.00,108.00,822124
1777916276,3649273,107.00,2.00,109.00,822124
1777916277,3649273,106.00,3.00,109.00,822124
1777916278,3649273,108.00,1.00,109.00,822124
1777916279,3649273,106.00,2.00,108.00,822124
1777916280,3649273,106.00,2.00,108.00,822124
1777916281,3649273,106.00,2.00,108.00,822124
1777916282,3649273,106.00,3.00,109.00,822124
1777916283,3649273,107.00,1.00,108.00,822124
1777916284,3649273,107.00,2.00,109.00,822124
1777916285,3649273,109.00,2.00,111.00,822124
1777916286,3649273,106.00,3.00,109.00,822124
1777916287,3649273,106.00,3.00,109.00,822124
1777916288,3649273,106.00,2.00,108.00,822124
1777916289,3649273,106.00,2.00,108.00,822124
1777916290,3649273,107.00,2.00,109.00,822124
1777916291,3649273,107.00,2.00,109.00,822124
1777916292,3649273,107.00,2.00,109.00,822124
1777916293,3649273,105.00,2.00,107.00,822124
1777916294,3649273,106.00,2.00,108.00,822124
1777916295,3649273,106.00,3.00,109.00,822124
1777916296,3649273,106.00,2.00,108.00,822124
1777916297,3649273,107.00,1.00,108.00,822124
1777916298,3649273,107.00,3.00,110.00,822124
1777916299,3649273,107.00,2.00,109.00,822124
1777916300,3649273,107.00,2.00,109.00,822124
1777916302,3649273,106.00,3.00,109.00,822124
1777916303,3649273,107.00,2.00,109.00,822124
1777916304,3649273,107.00,2.00,109.00,822124
1777916305,3649273,107.00,3.00,110.00,822124
1777916306,3649273,108.00,2.00,110.00,822124
1777916307,3649273,107.00,3.00,110.00,822124
1777916308,3649273,107.00,3.00,110.00,822124
1777916309,3649273,106.00,2.00,108.00,822124
1777916310,3649273,107.00,2.00,109.00,822124
1777916311,3649273,107.00,4.00,111.00,822124
1777916312,3649273,107.00,2.00,109.00,822124
1777916313,3649273,108.00,2.00,110.00,822124
1777916314,3649273,108.00,1.00,109.00,822124
1777916315,3649273,108.00,1.00,109.00,822124
1777916316,3649273,108.00,3.00,111.00,822124
1777916317,3649273,107.00,2.00,109.00,822124
1777916318,3649273,108.00,2.00,110.00,822124
1777916319,3649273,107.00,2.00,109.00,822124
1777916320,3649273,106.00,3.00,109.00,822124
1777916321,3649273,107.00,2.00,109.00,822124
1777916322,3649273,107.00,2.00,109.00,822124
1777916323,3649273,109.00,2.00,111.00,822124
1777916324,3649273,107.00,3.00,110.00,822124
1777916325,3649273,109.00,2.00,111.00,822124
1777916326,3649273,105.00,3.00,108.00,822124
1777916327,3649273,107.00,2.00,109.00,822124
1777916328,3649273,106.00,2.00,108.00,822124
1777916329,3649273,106.00,4.00,110.00,822124
1777916330,3649273,107.00,2.00,109.00,822124
1777916331,3649273,106.00,3.00,109.00,822124
1777916332,3649273,107.00,2.00,109.00,822124
1777916333,3649273,106.00,2.00,108.00,822124
1777916334,3649273,108.00,2.00,110.00,822124
1777916335,3649273,106.00,3.00,109.00,822124
1777916336,3649273,107.00,3.00,110.00,822124
1777916337,3649273,106.00,2.00,108.00,822124
1777916338,3649273,107.00,3.00,110.00,822124
