t_unix,interval_s,hz_inst
1777903759,0.066467,15.0451
1777903759,0.324007,3.0864
1777903759,0.315214,3.1724
1777903759,0.316682,3.1577
1777903759,0.316756,3.1570
1777903759,0.30947,3.2313
1777903759,0.323988,3.0865
1777903759,0.318562,3.1391
1777903759,0.319336,3.1315
1777903759,0.317427,3.1503
1777903762,0.321891,3.1066
1777903762,0.328143,3.0475
1777903762,0.307523,3.2518
1777903762,0.314079,3.1839
1777903762,0.312333,3.2017
1777903762,0.323583,3.0904
1777903762,0.310795,3.2176
1777903762,0.315286,3.1717
1777903762,0.333221,3.0010
1777903762,0.316721,3.1574
1777903766,0.309175,3.2344
1777903766,0.358126,2.7923
1777903766,0.341571,2.9276
1777903766,0.300367,3.3293
1777903766,0.321305,3.1123
1777903766,0.313368,3.1911
1777903766,0.315319,3.1714
1777903766,0.315894,3.1656
1777903766,0.317035,3.1542
1777903766,0.316702,3.1575
1777903770,0.309204,3.2341
1777903770,0.316639,3.1582
1777903770,0.316751,3.1571
1777903770,0.333504,2.9985
1777903770,0.316337,3.1612
1777903770,0.316962,3.1550
1777903770,0.308848,3.2378
1777903770,0.309148,3.2347
1777903770,0.322152,3.1041
1777903770,0.317483,3.1498
1777903774,0.312342,3.2016
1777903774,0.31408,3.1839
1777903774,0.316611,3.1584
1777903774,0.309029,3.2359
1777903774,0.313392,3.1909
1777903774,0.319051,3.1343
1777903774,0.317194,3.1526
1777903774,0.313383,3.1910
1777903774,0.314049,3.1842
1777903774,0.315542,3.1692
1777903778,0.313733,3.1874
1777903778,0.312132,3.2038
1777903778,0.31622,3.1624
1777903778,0.313673,3.1880
1777903778,0.320436,3.1207
1777903778,0.312207,3.2030
1777903778,0.316289,3.1617
1777903778,0.31628,3.1618
1777903778,0.30722,3.2550
1777903778,0.315357,3.1710
1777903781,0.320488,3.1202
1777903781,0.309842,3.2275
1777903781,0.305937,3.2686
1777903781,0.309064,3.2356
1777903781,0.348051,2.8731
