t_unix,pid,cpu_pct_user,cpu_pct_system,cpu_pct_total,rss_kb
1777903756,3395645,104.00,4.00,108.00,3313164
1777903757,3395645,104.00,2.00,106.00,3313164
1777903758,3395645,105.00,2.00,107.00,3313164
1777903759,3395645,105.00,2.00,107.00,3313164
1777903760,3395645,105.00,2.00,107.00,3313164
1777903761,3395645,104.00,1.00,105.00,3313164
1777903762,3395645,106.00,2.00,108.00,3313164
1777903763,3395645,104.00,2.00,106.00,3313164
1777903764,3395645,105.00,2.00,107.00,3313164
1777903765,3395645,106.00,2.00,108.00,3313164
1777903766,3395645,104.00,3.00,107.00,3313292
1777903767,3395645,105.00,2.00,107.00,3313292
1777903768,3395645,104.00,3.00,107.00,3313292
1777903769,3395645,104.00,2.00,106.00,3313292
1777903770,3395645,105.00,3.00,108.00,3313292
1777903771,3395645,105.00,1.00,106.00,3313292
1777903772,3395645,104.00,2.00,106.00,3313292
1777903773,3395645,104.00,3.00,107.00,3313292
1777903774,3395645,104.00,2.00,106.00,3313292
1777903775,3395645,104.00,2.00,106.00,3313292
1777903776,3395645,104.00,2.00,106.00,3313292
1777903777,3395645,104.00,2.00,106.00,3313292
1777903778,3395645,104.00,3.00,107.00,3313292
1777903780,3395645,104.00,2.00,106.00,3313292
1777903781,3395645,105.00,2.00,107.00,3313292
1777903782,3395645,104.00,2.00,106.00,3313292
1777903783,3395645,105.00,2.00,107.00,3313292
1777903784,3395645,104.00,2.00,106.00,3313292
1777903785,3395645,104.00,3.00,107.00,3313292
1777903786,3395645,104.00,1.00,105.00,3313292
1777903787,3395645,105.00,2.00,107.00,3313292
1777903788,3395645,104.00,3.00,107.00,3313292
1777903789,3395645,105.00,2.00,107.00,3313292
1777903790,3395645,105.00,1.00,106.00,3313292
1777903791,3395645,105.00,2.00,107.00,3313292
1777903792,3395645,105.00,2.00,107.00,3313292
1777903793,3395645,103.00,3.00,106.00,3313292
1777903794,3395645,105.00,1.00,106.00,3313292
1777903795,3395645,104.00,3.00,107.00,3313292
1777903796,3395645,104.00,2.00,106.00,3313292
1777903797,3395645,104.00,2.00,106.00,3313292
1777903798,3395645,105.00,2.00,107.00,3313292
1777903799,3395645,104.00,3.00,107.00,3313292
1777903800,3395645,105.00,1.00,106.00,3313292
1777903801,3395645,104.00,3.00,107.00,3313292
1777903802,3395645,104.00,2.00,106.00,3313292
1777903803,3395645,104.00,2.00,106.00,3313292
1777903804,3395645,104.00,2.00,106.00,3313292
1777903805,3395645,104.00,2.00,106.00,3313292
1777903806,3395645,104.00,3.00,107.00,3313292
1777903807,3395645,104.00,3.00,107.00,3313292
1777903808,3395645,104.00,2.00,106.00,3313292
1777903809,3395645,104.00,2.00,106.00,3313292
1777903810,3395645,104.00,2.00,106.00,3313292
1777903811,3395645,104.00,3.00,107.00,3313292
1777903812,3395645,105.00,2.00,107.00,3313292
1777903813,3395645,103.00,2.00,105.00,3313292
1777903814,3395645,104.00,3.00,107.00,3313292
1777903815,3395645,104.00,2.00,106.00,3313292
1777903816,3395645,105.00,2.00,107.00,3313292
1777903817,3395645,105.00,2.00,107.00,3313292
1777903818,3395645,105.00,2.00,107.00,3313292
1777903819,3395645,105.00,2.00,107.00,3313292
1777903820,3395645,105.00,2.00,107.00,3313292
1777903821,3395645,105.00,2.00,107.00,3313292
1777903822,3395645,104.00,2.00,106.00,3313292
1777903823,3395645,104.00,2.00,106.00,3313292
1777903824,3395645,104.00,3.00,107.00,3313292
1777903825,3395645,103.00,3.00,106.00,3313292
1777903826,3395645,104.00,1.00,105.00,3313292
1777903827,3395645,106.00,2.00,108.00,3313292
1777903828,3395645,105.00,2.00,107.00,3313292
1777903829,3395645,105.00,1.00,106.00,3313292
1777903830,3395645,104.00,2.00,106.00,3313292
1777903831,3395645,104.00,2.00,106.00,3313292
1777903832,3395645,106.00,1.00,107.00,3313292
1777903833,3395645,103.00,3.00,106.00,3313292
1777903834,3395645,104.00,2.00,106.00,3313292
1777903835,3395645,104.00,3.00,107.00,3313292
