t_unix,pid,cpu_pct_user,cpu_pct_system,cpu_pct_total,rss_kb
1777904855,3428352,105.00,3.00,108.00,3294688
1777904856,3428352,105.00,2.00,107.00,3294688
1777904857,3428352,105.00,1.00,106.00,3294688
1777904858,3428352,106.00,2.00,108.00,3294688
1777904859,3428352,105.00,1.00,106.00,3294688
1777904860,3428352,104.00,2.00,106.00,3294688
1777904861,3428352,105.00,2.00,107.00,3294688
1777904862,3428352,106.00,2.00,108.00,3294688
1777904863,3428352,105.00,2.00,107.00,3294688
1777904864,3428352,105.00,2.00,107.00,3294688
1777904866,3428352,106.00,1.00,107.00,3294688
1777904867,3428352,105.00,2.00,107.00,3294688
1777904868,3428352,104.00,2.00,106.00,3294688
1777904869,3428352,106.00,1.00,107.00,3294688
1777904870,3428352,105.00,2.00,107.00,3294816
1777904871,3428352,105.00,2.00,107.00,3294816
1777904872,3428352,105.00,2.00,107.00,3294816
1777904873,3428352,104.00,1.00,105.00,3294816
1777904874,3428352,105.00,3.00,108.00,3294816
1777904875,3428352,105.00,2.00,107.00,3294816
1777904876,3428352,104.00,2.00,106.00,3294816
1777904877,3428352,104.00,3.00,107.00,3294816
1777904878,3428352,105.00,1.00,106.00,3294816
1777904879,3428352,104.00,2.00,106.00,3294816
1777904880,3428352,104.00,2.00,106.00,3294816
1777904881,3428352,105.00,2.00,107.00,3294816
1777904882,3428352,105.00,2.00,107.00,3294816
1777904883,3428352,105.00,2.00,107.00,3294816
1777904884,3428352,105.00,1.00,106.00,3294816
1777904885,3428352,105.00,2.00,107.00,3294816
1777904886,3428352,104.00,2.00,106.00,3294816
1777904887,3428352,105.00,1.00,106.00,3294816
1777904888,3428352,105.00,2.00,107.00,3294816
1777904889,3428352,104.00,2.00,106.00,3294816
1777904890,3428352,105.00,2.00,107.00,3294816
1777904891,3428352,105.00,1.00,106.00,3294816
1777904892,3428352,105.00,1.00,106.00,3294816
1777904893,3428352,105.00,2.00,107.00,3294816
1777904894,3428352,105.00,2.00,107.00,3294816
1777904895,3428352,106.00,1.00,107.00,3294816
1777904896,3428352,105.00,2.00,107.00,3294816
1777904897,3428352,104.00,1.00,105.00,3294816
1777904898,3428352,105.00,3.00,108.00,3294816
1777904899,3428352,104.00,1.00,105.00,3294816
1777904900,3428352,105.00,2.00,107.00,3294816
1777904901,3428352,105.00,2.00,107.00,3294816
1777904902,3428352,105.00,1.00,106.00,3294816
1777904903,3428352,103.00,2.00,105.00,3294816
1777904904,3428352,105.00,3.00,108.00,3294816
1777904905,3428352,104.00,2.00,106.00,3294816
1777904906,3428352,105.00,3.00,108.00,3294816
1777904907,3428352,105.00,2.00,107.00,3294816
1777904908,3428352,105.00,1.00,106.00,3294816
1777904909,3428352,104.00,2.00,106.00,3294816
1777904910,3428352,104.00,2.00,106.00,3294816
1777904911,3428352,106.00,2.00,108.00,3294816
1777904912,3428352,105.00,1.00,106.00,3294816
1777904913,3428352,106.00,2.00,108.00,3294816
1777904914,3428352,105.00,1.00,106.00,3294816
1777904915,3428352,105.00,2.00,107.00,3294816
1777904916,3428352,104.00,3.00,107.00,3294816
1777904917,3428352,105.00,2.00,107.00,3294816
1777904919,3428352,105.00,2.00,107.00,3294816
1777904920,3428352,104.00,2.00,106.00,3294816
1777904921,3428352,104.00,2.00,106.00,3294816
1777904922,3428352,105.00,1.00,106.00,3294816
1777904923,3428352,105.00,2.00,107.00,3294816
1777904924,3428352,105.00,2.00,107.00,3294816
1777904925,3428352,105.00,1.00,106.00,3294816
1777904926,3428352,104.00,3.00,107.00,3294816
1777904927,3428352,105.00,2.00,107.00,3294816
1777904928,3428352,104.00,3.00,107.00,3294816
1777904929,3428352,105.00,1.00,106.00,3294816
1777904930,3428352,107.00,2.00,109.00,3294816
1777904931,3428352,106.00,1.00,107.00,3294816
1777904932,3428352,104.00,2.00,106.00,3294816
1777904933,3428352,105.00,2.00,107.00,3294816
1777904934,3428352,105.00,2.00,107.00,3294816
1777904935,3428352,104.00,2.00,106.00,3294816
