t_unix,interval_s,hz_inst
1777901839,1.93168,0.5177
1777901839,2.94405,0.3397
1777901839,2.81624,0.3551
1777901839,2.84981,0.3509
1777901839,2.87253,0.3481
1777901839,2.87506,0.3478
1777901839,2.97318,0.3363
1777901839,2.88944,0.3461
1777901839,3.33764,0.2996
1777901839,2.95257,0.3387
1777901873,2.86597,0.3489
1777901873,2.85062,0.3508
1777901873,2.82827,0.3536
1777901873,2.85056,0.3508
1777901873,2.83646,0.3526
1777901873,2.84651,0.3513
1777901873,2.84082,0.3520
1777901873,2.84316,0.3517
1777901873,2.83375,0.3529
1777901873,2.82446,0.3540
