t_unix,gpu_util_pct,mem_util_pct,mem_used_mb,power_w,temp_c
1777908344,24,8,3877,30.72,40
1777908345,25,9,3906,30.85,40
1777908346,26,9,3906,30.88,40
1777908347,26,9,3906,30.89,40
1777908348,25,9,3906,30.89,40
1777908349,25,9,3906,30.87,40
1777908350,26,9,3906,30.87,40
1777908351,26,9,3906,30.87,40
1777908352,25,9,3906,30.87,40
1777908353,27,9,3906,30.88,40
1777908354,12,2,3876,31.00,40
1777908355,19,13,3875,26.82,40
1777908356,26,14,3875,17.48,39
1777908357,26,14,3875,17.60,40
1777908358,40,25,3875,16.83,39
1777908359,42,26,3875,16.30,39
1777908360,21,13,3793,16.94,40
1777908361,20,13,3793,17.27,39
1777908362,41,25,3793,17.05,39
1777908363,42,27,3793,16.50,39
1777908364,40,26,3793,16.48,39
1777908365,20,13,3793,16.70,39
1777908366,20,13,3793,17.30,39
1777908367,43,27,3793,16.96,39
1777908368,42,26,3793,16.42,39
1777908369,42,27,3793,16.52,39
1777908370,41,27,3793,16.50,39
1777908371,22,14,3793,16.60,39
1777908372,23,15,3793,17.40,39
1777908373,42,27,3793,17.25,39
1777908374,44,27,3793,16.46,39
1777908375,42,27,3793,16.42,39
1777908376,43,27,3793,16.34,39
1777908377,40,26,3793,16.32,39
1777908378,40,26,3793,16.46,39
1777908379,22,14,3793,17.20,39
1777908380,44,27,3793,17.21,39
1777908381,40,26,3793,16.57,39
1777908382,43,27,3793,16.43,39
1777908383,43,27,3793,16.38,39
1777908384,42,27,3793,16.26,39
1777908385,8,5,3862,16.65,39
1777908386,8,6,3945,34.06,41
1777908387,8,6,3944,47.19,41
1777908388,17,9,3944,35.69,40
1777908389,47,13,3944,31.47,40
1777908390,18,8,3944,31.37,40
1777908391,25,9,3944,30.85,40
1777908392,24,8,3944,30.86,40
1777908393,26,8,3944,30.92,40
1777908394,24,8,3944,30.91,40
1777908395,26,8,3944,30.94,40
1777908396,24,8,3944,30.91,40
1777908397,24,8,3944,30.87,40
1777908398,24,8,3944,30.86,40
1777908399,24,8,3944,30.86,40
1777908400,25,8,3944,30.84,40
1777908401,27,8,3944,30.80,40
1777908402,26,8,3944,30.87,40
1777908403,25,8,3944,30.88,40
1777908404,25,8,3944,30.89,40
1777908405,24,8,3944,30.87,40
1777908406,14,2,3876,31.20,40
1777908407,12,2,3875,28.75,40
1777908408,22,12,3875,17.61,40
1777908409,27,14,3875,17.59,40
1777908410,41,26,3875,16.95,40
1777908411,43,27,3875,16.35,40
1777908412,40,26,3875,16.41,40
1777908413,42,27,3875,16.52,40
1777908414,45,29,3875,16.54,40
1777908415,42,27,3875,16.51,40
1777908416,22,14,3875,16.64,40
1777908417,23,15,3875,17.31,40
1777908418,41,26,3875,17.00,40
1777908419,42,27,3875,16.28,39
1777908420,21,13,3793,16.88,40
1777908421,21,13,3793,17.27,40
1777908422,41,26,3793,17.03,40
1777908423,20,13,3793,17.15,39
