t_unix,device,r_iops,w_iops,r_mb_s,w_mb_s,util_pct
1777915421,loop0,0.00,0.00,0.000,0.000,0.00
1777915421,loop1,0.00,0.00,0.000,0.000,0.00
1777915421,loop10,0.00,0.00,0.000,0.000,0.00
1777915421,loop11,0.00,0.00,0.000,0.000,0.00
1777915421,loop12,0.00,0.00,0.000,0.000,0.00
1777915421,loop13,0.00,0.00,0.000,0.000,0.00
1777915421,loop14,0.00,0.00,0.000,0.000,0.00
1777915421,loop15,0.00,0.00,0.000,0.000,0.00
1777915421,loop16,0.00,0.00,0.000,0.000,0.00
1777915421,loop17,0.00,0.00,0.000,0.000,0.00
1777915421,loop18,0.00,0.00,0.000,0.000,0.00
1777915421,loop19,0.00,0.00,0.000,0.000,0.00
1777915421,loop2,0.00,0.00,0.000,0.000,0.00
1777915421,loop20,0.00,0.00,0.000,0.000,0.00
1777915421,loop21,0.00,0.00,0.000,0.000,0.00
1777915421,loop22,0.00,0.00,0.000,0.000,0.00
1777915421,loop23,0.00,0.00,0.000,0.000,0.00
1777915421,loop24,0.00,0.00,0.000,0.000,0.00
1777915421,loop25,0.00,0.00,0.000,0.000,0.00
1777915421,loop26,0.00,0.00,0.000,0.000,0.00
1777915421,loop27,0.00,0.00,0.000,0.000,0.00
1777915421,loop28,0.00,0.00,0.000,0.000,0.00
1777915421,loop29,0.00,0.00,0.000,0.000,0.00
1777915421,loop3,0.00,0.00,0.000,0.000,0.00
1777915421,loop30,0.00,0.00,0.000,0.000,0.00
1777915421,loop31,0.00,0.00,0.000,0.000,0.00
1777915421,loop32,0.00,0.00,0.000,0.000,0.00
1777915421,loop33,0.00,0.00,0.000,0.000,0.00
1777915421,loop34,0.00,0.00,0.000,0.000,0.00
1777915421,loop35,0.00,0.00,0.000,0.000,0.00
1777915421,loop36,0.00,0.00,0.000,0.000,0.00
1777915421,loop37,0.00,0.00,0.000,0.000,0.00
1777915421,loop38,0.00,0.00,0.000,0.000,0.00
1777915421,loop39,0.00,0.00,0.000,0.000,0.00
1777915421,loop4,0.00,0.00,0.000,0.000,0.00
1777915421,loop40,0.00,0.00,0.000,0.000,0.00
1777915421,loop5,0.00,0.00,0.000,0.000,0.00
1777915421,loop6,0.00,0.00,0.000,0.000,0.00
1777915421,loop7,0.00,0.00,0.000,0.000,0.00
1777915421,loop8,0.00,0.00,0.000,0.000,0.00
1777915421,loop9,0.00,0.00,0.000,0.000,0.00
1777915421,nvme0n1,0.00,0.00,0.000,0.000,0.00
1777915422,loop0,0.00,0.00,0.000,0.000,0.00
1777915422,loop1,0.00,0.00,0.000,0.000,0.00
1777915422,loop10,0.00,0.00,0.000,0.000,0.00
1777915422,loop11,0.00,0.00,0.000,0.000,0.00
1777915422,loop12,0.00,0.00,0.000,0.000,0.00
1777915422,loop13,0.00,0.00,0.000,0.000,0.00
1777915422,loop14,0.00,0.00,0.000,0.000,0.00
1777915422,loop15,0.00,0.00,0.000,0.000,0.00
1777915422,loop16,0.00,0.00,0.000,0.000,0.00
1777915422,loop17,0.00,0.00,0.000,0.000,0.00
1777915422,loop18,0.00,0.00,0.000,0.000,0.00
1777915422,loop19,0.00,0.00,0.000,0.000,0.00
1777915422,loop2,0.00,0.00,0.000,0.000,0.00
1777915422,loop20,0.00,0.00,0.000,0.000,0.00
1777915422,loop21,0.00,0.00,0.000,0.000,0.00
1777915422,loop22,0.00,0.00,0.000,0.000,0.00
1777915422,loop23,0.00,0.00,0.000,0.000,0.00
1777915422,loop24,0.00,0.00,0.000,0.000,0.00
1777915422,loop25,0.00,0.00,0.000,0.000,0.00
1777915422,loop26,0.00,0.00,0.000,0.000,0.00
1777915422,loop27,0.00,0.00,0.000,0.000,0.00
1777915422,loop28,0.00,0.00,0.000,0.000,0.00
1777915422,loop29,0.00,0.00,0.000,0.000,0.00
1777915422,loop3,0.00,0.00,0.000,0.000,0.00
1777915422,loop30,0.00,0.00,0.000,0.000,0.00
1777915422,loop31,0.00,0.00,0.000,0.000,0.00
1777915422,loop32,0.00,0.00,0.000,0.000,0.00
1777915422,loop33,0.00,0.00,0.000,0.000,0.00
1777915422,loop34,0.00,0.00,0.000,0.000,0.00
1777915422,loop35,0.00,0.00,0.000,0.000,0.00
1777915422,loop36,0.00,0.00,0.000,0.000,0.00
1777915422,loop37,0.00,0.00,0.000,0.000,0.00
1777915422,loop38,0.00,0.00,0.000,0.000,0.00
1777915422,loop39,0.00,0.00,0.000,0.000,0.00
1777915422,loop4,0.00,0.00,0.000,0.000,0.00
1777915422,loop40,0.00,0.00,0.000,0.000,0.00
1777915422,loop5,0.00,0.00,0.000,0.000,0.00
1777915422,loop6,0.00,0.00,0.000,0.000,0.00
1777915422,loop7,0.00,0.00,0.000,0.000,0.00
1777915422,loop8,0.00,0.00,0.000,0.000,0.00
1777915422,loop9,0.00,0.00,0.000,0.000,0.00
1777915422,nvme0n1,0.00,0.00,0.000,0.000,0.10
1777915423,loop0,0.00,0.00,0.000,0.000,0.00
1777915423,loop1,0.00,0.00,0.000,0.000,0.00
1777915423,loop10,0.00,0.00,0.000,0.000,0.00
1777915423,loop11,0.00,0.00,0.000,0.000,0.00
1777915423,loop12,0.00,0.00,0.000,0.000,0.00
1777915423,loop13,0.00,0.00,0.000,0.000,0.00
1777915423,loop14,0.00,0.00,0.000,0.000,0.00
1777915423,loop15,0.00,0.00,0.000,0.000,0.00
1777915423,loop16,0.00,0.00,0.000,0.000,0.00
1777915423,loop17,0.00,0.00,0.000,0.000,0.00
1777915423,loop18,0.00,0.00,0.000,0.000,0.00
1777915423,loop19,0.00,0.00,0.000,0.000,0.00
1777915423,loop2,0.00,0.00,0.000,0.000,0.00
1777915423,loop20,0.00,0.00,0.000,0.000,0.00
1777915423,loop21,0.00,0.00,0.000,0.000,0.00
1777915423,loop22,0.00,0.00,0.000,0.000,0.00
1777915423,loop23,0.00,0.00,0.000,0.000,0.00
1777915423,loop24,0.00,0.00,0.000,0.000,0.00
1777915423,loop25,0.00,0.00,0.000,0.000,0.00
1777915423,loop26,0.00,0.00,0.000,0.000,0.00
1777915423,loop27,0.00,0.00,0.000,0.000,0.00
1777915423,loop28,0.00,0.00,0.000,0.000,0.00
1777915423,loop29,0.00,0.00,0.000,0.000,0.00
1777915423,loop3,0.00,0.00,0.000,0.000,0.00
1777915423,loop30,0.00,0.00,0.000,0.000,0.00
1777915423,loop31,0.00,0.00,0.000,0.000,0.00
1777915423,loop32,0.00,0.00,0.000,0.000,0.00
1777915423,loop33,0.00,0.00,0.000,0.000,0.00
1777915423,loop34,0.00,0.00,0.000,0.000,0.00
1777915423,loop35,0.00,0.00,0.000,0.000,0.00
1777915423,loop36,0.00,0.00,0.000,0.000,0.00
1777915423,loop37,0.00,0.00,0.000,0.000,0.00
1777915423,loop38,0.00,0.00,0.000,0.000,0.00
1777915423,loop39,0.00,0.00,0.000,0.000,0.00
1777915423,loop4,0.00,0.00,0.000,0.000,0.00
1777915423,loop40,0.00,0.00,0.000,0.000,0.00
1777915423,loop5,0.00,0.00,0.000,0.000,0.00
1777915423,loop6,0.00,0.00,0.000,0.000,0.00
1777915423,loop7,0.00,0.00,0.000,0.000,0.00
1777915423,loop8,0.00,0.00,0.000,0.000,0.00
1777915423,loop9,0.00,0.00,0.000,0.000,0.00
1777915423,nvme0n1,0.00,0.00,0.000,0.000,0.30
1777915424,loop0,0.00,0.00,0.000,0.000,0.00
1777915424,loop1,0.00,0.00,0.000,0.000,0.00
1777915424,loop10,0.00,0.00,0.000,0.000,0.00
1777915424,loop11,0.00,0.00,0.000,0.000,0.00
1777915424,loop12,0.00,0.00,0.000,0.000,0.00
1777915424,loop13,0.00,0.00,0.000,0.000,0.00
1777915424,loop14,0.00,0.00,0.000,0.000,0.00
1777915424,loop15,0.00,0.00,0.000,0.000,0.00
1777915424,loop16,0.00,0.00,0.000,0.000,0.00
1777915424,loop17,0.00,0.00,0.000,0.000,0.00
1777915424,loop18,0.00,0.00,0.000,0.000,0.00
1777915424,loop19,0.00,0.00,0.000,0.000,0.00
1777915424,loop2,0.00,0.00,0.000,0.000,0.00
1777915424,loop20,0.00,0.00,0.000,0.000,0.00
1777915424,loop21,0.00,0.00,0.000,0.000,0.00
1777915424,loop22,0.00,0.00,0.000,0.000,0.00
1777915424,loop23,0.00,0.00,0.000,0.000,0.00
1777915424,loop24,0.00,0.00,0.000,0.000,0.00
1777915424,loop25,0.00,0.00,0.000,0.000,0.00
1777915424,loop26,0.00,0.00,0.000,0.000,0.00
1777915424,loop27,0.00,0.00,0.000,0.000,0.00
1777915424,loop28,0.00,0.00,0.000,0.000,0.00
1777915424,loop29,0.00,0.00,0.000,0.000,0.00
1777915424,loop3,0.00,0.00,0.000,0.000,0.00
1777915424,loop30,0.00,0.00,0.000,0.000,0.00
1777915424,loop31,0.00,0.00,0.000,0.000,0.00
1777915424,loop32,0.00,0.00,0.000,0.000,0.00
1777915424,loop33,0.00,0.00,0.000,0.000,0.00
1777915424,loop34,0.00,0.00,0.000,0.000,0.00
1777915424,loop35,0.00,0.00,0.000,0.000,0.00
1777915424,loop36,0.00,0.00,0.000,0.000,0.00
1777915424,loop37,0.00,0.00,0.000,0.000,0.00
1777915424,loop38,0.00,0.00,0.000,0.000,0.00
1777915424,loop39,0.00,0.00,0.000,0.000,0.00
1777915424,loop4,0.00,0.00,0.000,0.000,0.00
1777915424,loop40,0.00,0.00,0.000,0.000,0.00
1777915424,loop5,0.00,0.00,0.000,0.000,0.00
1777915424,loop6,0.00,0.00,0.000,0.000,0.00
1777915424,loop7,0.00,0.00,0.000,0.000,0.00
1777915424,loop8,0.00,0.00,0.000,0.000,0.00
1777915424,loop9,0.00,0.00,0.000,0.000,0.00
1777915424,nvme0n1,0.00,0.00,0.000,0.000,0.90
1777915425,loop0,0.00,0.00,0.000,0.000,0.00
