t_unix,gpu_util_pct,mem_util_pct,mem_used_mb,power_w,temp_c
1777902357,15,10,3161,44.79,46
1777902358,3,4,3189,43.83,46
1777902359,42,20,3189,35.43,45
1777902360,6,6,3189,31.00,44
1777902361,11,7,3189,29.81,45
1777902362,3,4,3189,40.44,46
1777902363,3,4,3189,43.35,45
1777902364,5,6,3189,31.19,45
1777902365,22,9,3189,29.40,45
1777902366,7,6,3189,29.94,44
1777902367,41,37,3189,27.80,44
1777902368,41,37,3189,20.35,44
1777902369,41,37,3191,20.42,44
1777902370,15,8,3115,36.65,45
1777902371,13,9,3115,44.49,46
1777902372,10,8,3114,36.25,45
1777902373,29,13,3050,30.86,45
1777902374,41,20,3056,32.27,45
1777902375,38,20,3139,32.37,45
1777902376,6,6,3139,32.79,44
1777902377,6,6,3139,30.99,44
1777902378,6,6,3061,30.97,45
1777902379,29,16,3061,32.22,45
1777902380,39,19,3063,32.57,45
1777902381,6,6,3067,31.30,45
1777902382,6,6,3067,30.69,44
1777902383,61,20,3073,31.07,45
1777902384,6,6,3151,30.29,44
1777902385,46,20,3075,31.18,45
1777902386,6,6,3075,30.89,44
1777902387,41,21,3075,32.14,45
1777902388,30,17,3075,32.15,45
1777902389,11,6,3075,31.48,44
1777902390,39,18,3081,32.95,45
1777902391,6,6,3081,31.08,44
1777902392,13,6,3081,29.68,44
1777902393,7,6,3013,29.83,44
1777902394,30,13,3030,32.34,45
1777902395,12,7,3030,32.12,45
1777902396,49,18,3196,31.23,44
1777902397,7,7,3196,32.09,44
1777902398,7,7,3197,29.89,44
1777902399,7,7,3197,30.20,44
1777902400,8,7,3197,29.34,44
1777902401,8,7,3197,29.34,44
1777902402,8,7,3197,29.20,44
1777902403,40,37,3197,22.93,44
1777902404,40,45,3197,20.44,44
1777902405,40,37,3197,20.46,44
1777902406,41,37,3197,20.35,44
1777902407,41,37,3197,20.41,44
1777902408,40,37,3197,20.30,44
1777902409,41,37,3197,20.55,44
1777902410,40,37,3197,20.70,44
1777902411,40,37,3197,20.43,44
1777902412,40,37,3197,20.42,44
1777902413,41,37,3197,20.60,44
1777902414,41,37,3197,20.51,44
1777902415,47,38,3197,20.56,44
1777902416,40,37,3197,20.67,43
1777902417,40,37,3197,20.50,44
1777902418,41,37,3197,20.76,44
1777902419,38,35,3197,20.77,43
1777902420,38,35,3197,20.94,43
1777902421,39,36,3197,20.76,44
1777902422,38,35,3197,20.64,43
1777902423,40,37,3197,20.61,43
1777902424,38,36,3197,20.76,43
1777902425,38,39,3197,21.00,43
1777902426,39,36,3197,20.97,43
1777902427,40,37,3197,21.33,43
1777902428,40,37,3197,21.36,43
1777902429,40,37,3197,21.19,43
1777902430,6,6,3197,25.90,44
1777902431,6,6,3197,29.97,44
1777902432,7,6,3197,29.43,43
1777902433,7,6,3197,29.28,43
1777902434,41,38,3197,24.15,43
1777902435,42,38,3197,20.40,43
1777902436,15,10,3270,26.36,44
