t_unix,gpu_util_pct,mem_util_pct,mem_used_mb,power_w,temp_c
1777901990,3,4,2776,43.37,46
1777901991,3,4,2805,43.61,46
1777901992,5,6,2805,34.59,45
1777901993,7,5,2805,29.44,45
1777901994,42,38,2805,22.41,45
1777901995,12,10,2805,30.54,46
1777901996,6,5,2805,44.68,46
1777901997,20,11,2805,37.06,45
1777901998,17,10,2805,30.69,45
1777901999,14,10,2805,31.84,45
1777902000,6,7,2805,30.21,45
1777902001,16,8,2805,29.71,45
1777902002,3,5,2807,33.95,46
1777902003,3,5,2805,46.20,46
1777902004,9,8,2805,38.99,45
1777902005,8,7,2805,30.02,45
1777902006,7,7,2805,29.71,45
1777902007,8,7,2805,29.55,45
1777902008,7,6,2805,29.65,45
1777902009,39,37,2805,28.04,45
1777902010,39,37,2805,20.64,44
1777902011,38,37,2805,20.89,44
1777902012,38,37,2805,21.06,44
1777902013,39,37,2805,21.09,44
1777902014,38,37,2805,21.22,44
1777902015,38,37,2805,20.48,44
1777902016,39,37,2805,20.74,44
1777902017,38,40,2805,20.95,44
1777902018,38,37,2805,20.89,44
1777902019,38,37,2805,20.84,44
1777902020,36,36,2805,20.92,44
1777902021,39,38,2805,20.92,44
1777902022,48,39,2805,20.95,44
1777902023,40,38,2805,20.90,44
1777902024,41,42,2805,20.89,44
1777902025,41,40,2805,20.96,44
1777902026,41,39,2805,20.84,44
1777902027,40,38,2805,20.83,44
1777902028,40,38,2805,20.84,44
1777902029,40,38,2805,20.93,44
1777902030,40,46,2805,20.98,44
1777902031,3,4,2808,27.80,45
1777902032,3,4,2808,43.47,45
1777902033,22,10,2806,37.65,44
1777902034,29,12,3336,32.68,45
1777902035,32,14,2949,33.46,44
1777902036,36,22,2950,37.89,45
1777902037,8,5,2933,41.13,45
1777902038,12,7,2934,37.68,45
1777902039,20,11,3014,32.34,45
1777902040,15,10,2869,32.95,45
1777902041,12,8,2868,32.27,44
1777902042,44,18,2830,31.18,45
1777902043,15,8,2830,32.27,44
1777902044,5,5,2830,30.79,44
1777902045,42,18,2830,30.53,45
1777902046,16,9,2830,31.57,45
1777902047,42,17,2833,30.34,45
1777902048,32,13,2833,32.54,44
1777902049,10,7,2895,32.06,45
1777902050,6,6,2897,30.40,45
1777902051,28,12,2897,31.28,44
1777902052,10,7,2897,31.14,45
1777902053,6,6,2897,32.38,45
1777902054,27,14,2897,31.33,44
1777902055,40,15,2789,31.52,44
1777902056,22,11,2872,32.89,45
1777902057,6,6,2869,30.90,44
1777902058,6,6,2869,29.62,44
1777902059,8,7,2869,29.44,44
1777902060,26,10,2869,29.59,44
1777902061,7,6,2869,30.20,44
1777902062,7,6,2869,29.42,44
1777902063,7,6,2869,29.79,44
1777902064,17,12,2869,27.20,44
1777902065,3,4,2869,43.67,45
1777902066,11,8,2869,40.19,45
1777902067,7,7,2869,30.67,44
1777902068,7,7,2869,29.86,44
1777902069,8,7,2869,29.39,44
