condition,metric,p25,p50,p75,n
main_ogre19,rtf_p50,0.5156043808549982,0.5211650582511165,0.5245034918819972,5
main_ogre19,rtf_p10,0.34375637436396755,0.3509549636364103,0.35215776063441573,5
main_ogre19,cam_hz_mean,15.00956603960396,15.049847623762377,16.615846262626263,5
main_ogre19,cpu_p50_pct,116.0,116.0,116.0,5
main_ogre19,rss_peak_mb,827.546875,827.62890625,827.859375,5
main_ogre19,gpu_util_p50_pct,39.0,39.0,39.5,5
main_ogre19,vram_peak_mb,4243.0,4395.0,4585.0,5
main_ogre19,power_p50_w,16.735,16.825,17.075,5
main_ogre19,io_w_p50_mb_s,0.0,0.0,0.0,5
ogre112,rtf_p50,0.5238426281261606,0.5254753055507533,0.5262484850621736,5
ogre112,rtf_p10,0.3569688196654198,0.3589933925880079,0.362225870522933,5
ogre112,cam_hz_mean,15.022380891089108,15.050027425742575,17.101713762376235,5
ogre112,cpu_p50_pct,115.0,116.0,116.0,5
ogre112,rss_peak_mb,816.66796875,816.95703125,817.1484375,5
ogre112,gpu_util_p50_pct,26.0,39.0,40.0,5
ogre112,vram_peak_mb,3863.0,3945.0,3945.0,5
ogre112,power_p50_w,16.52,16.665,17.295,5
ogre112,io_w_p50_mb_s,0.0,0.0,0.0,5
