t_unix,pid,cpu_pct_user,cpu_pct_system,cpu_pct_total,rss_kb
1777915892,3628662,108.00,3.00,111.00,837708
1777915893,3628662,104.00,3.00,107.00,837708
1777915894,3628662,106.00,2.00,108.00,837708
1777915895,3628662,106.00,2.00,108.00,837836
1777915896,3628662,107.00,1.00,108.00,837836
1777915897,3628662,107.00,3.00,110.00,837836
1777915898,3628662,111.00,2.00,113.00,837836
1777915899,3628662,111.00,3.00,114.00,837836
1777915900,3628662,109.00,2.00,111.00,837836
1777915901,3628662,110.00,3.00,113.00,837836
1777915902,3628662,105.00,2.00,107.00,837836
1777915903,3628662,105.00,3.00,108.00,837836
1777915904,3628662,110.00,3.00,113.00,837836
1777915905,3628662,111.00,2.00,113.00,837836
1777915906,3628662,108.00,2.00,110.00,837836
1777915907,3628662,105.00,2.00,107.00,837836
1777915908,3628662,106.00,3.00,109.00,837836
1777915909,3628662,106.00,1.00,107.00,837836
1777915910,3628662,108.00,3.00,111.00,837836
1777915911,3628662,110.00,2.00,112.00,837836
1777915912,3628662,111.00,2.00,113.00,837836
1777915913,3628662,109.00,2.00,111.00,837836
1777915914,3628662,110.00,3.00,113.00,837836
1777915915,3628662,106.00,2.00,108.00,837836
1777915916,3628662,106.00,2.00,108.00,837836
1777915917,3628662,107.00,2.00,109.00,837836
1777915918,3628662,106.00,2.00,108.00,837836
1777915919,3628662,106.00,3.00,109.00,837836
1777915920,3628662,106.00,3.00,109.00,837836
1777915921,3628662,110.00,2.00,112.00,837836
1777915922,3628662,111.00,3.00,114.00,837836
1777915923,3628662,110.00,2.00,112.00,837836
1777915924,3628662,108.00,3.00,111.00,837836
1777915925,3628662,104.00,3.00,107.00,837836
1777915926,3628662,107.00,2.00,109.00,837836
1777915927,3628662,106.00,2.00,108.00,837836
1777915928,3628662,107.00,1.00,108.00,837836
1777915929,3628662,107.00,3.00,110.00,837836
1777915930,3628662,107.00,1.00,108.00,837836
1777915931,3628662,106.00,3.00,109.00,837836
1777915932,3628662,110.00,3.00,113.00,837836
1777915933,3628662,110.00,2.00,112.00,837836
1777915934,3628662,112.00,3.00,115.00,837836
1777915935,3628662,105.00,2.00,107.00,837836
1777915936,3628662,104.00,3.00,107.00,837836
1777915937,3628662,106.00,2.00,108.00,837836
1777915938,3628662,108.00,2.00,110.00,837836
1777915939,3628662,111.00,2.00,113.00,837836
1777915940,3628662,109.00,3.00,112.00,837836
1777915941,3628662,111.00,2.00,113.00,837836
1777915942,3628662,111.00,3.00,114.00,837836
1777915943,3628662,106.00,3.00,109.00,837836
1777915944,3628662,104.00,2.00,106.00,837836
1777915946,3628662,111.00,2.00,113.00,837836
1777915947,3628662,110.00,2.00,112.00,837836
1777915948,3628662,111.00,2.00,113.00,837836
1777915949,3628662,105.00,3.00,108.00,837836
1777915950,3628662,107.00,2.00,109.00,837836
1777915951,3628662,110.00,2.00,112.00,837836
1777915952,3628662,108.00,3.00,111.00,837836
1777915953,3628662,109.00,3.00,112.00,837836
1777915954,3628662,104.00,3.00,107.00,837836
1777915955,3628662,104.00,3.00,107.00,837836
1777915956,3628662,107.00,2.00,109.00,837836
1777915957,3628662,107.00,2.00,109.00,837836
1777915958,3628662,108.00,3.00,111.00,837836
1777915959,3628662,111.00,2.00,113.00,837836
1777915960,3628662,109.00,2.00,111.00,837836
1777915961,3628662,111.00,2.00,113.00,837836
1777915962,3628662,110.00,2.00,112.00,837836
1777915963,3628662,107.00,3.00,110.00,837836
1777915964,3628662,105.00,2.00,107.00,837836
1777915965,3628662,105.00,2.00,107.00,837836
1777915966,3628662,106.00,3.00,109.00,837836
1777915967,3628662,106.00,3.00,109.00,837836
1777915968,3628662,108.00,2.00,110.00,837836
1777915969,3628662,110.00,3.00,113.00,837836
1777915970,3628662,111.00,3.00,114.00,837836
1777915971,3628662,110.00,2.00,112.00,837836
