t_unix,gpu_util_pct,mem_util_pct,mem_used_mb,power_w,temp_c
1777915891,40,37,3023,20.48,44
1777915892,42,38,3029,20.75,44
1777915893,6,6,3029,26.08,44
1777915894,6,7,3029,30.30,44
1777915895,7,6,3029,29.50,44
1777915896,10,7,3029,29.22,44
1777915897,10,7,3029,29.21,44
1777915898,48,42,3029,24.66,44
1777915899,46,41,3029,20.76,44
1777915900,45,41,3029,20.85,44
1777915901,44,40,3029,20.94,44
1777915902,44,41,3029,24.30,44
1777915903,7,7,3029,30.00,44
1777915904,46,41,3029,24.63,44
1777915905,45,41,3029,20.98,44
1777915906,46,41,3029,20.97,44
1777915907,7,7,3029,27.58,44
1777915908,7,7,3029,30.02,44
1777915909,10,7,2973,29.42,44
1777915910,10,7,2973,29.38,44
1777915911,9,7,2973,26.38,44
1777915912,43,39,2973,20.87,43
1777915913,43,38,2973,20.95,44
1777915914,45,41,2953,20.84,44
1777915915,44,40,2953,22.90,44
1777915916,22,13,2925,31.36,44
1777915917,10,8,2925,30.76,44
1777915918,6,6,2925,30.32,44
1777915919,8,6,2925,29.43,44
1777915920,9,6,2925,29.35,44
1777915921,9,6,2925,28.06,43
1777915922,42,38,2925,20.81,43
1777915923,42,38,2925,20.86,43
1777915924,43,39,2928,20.96,43
1777915925,3,4,2928,37.66,45
1777915926,4,4,2928,43.47,45
1777915927,6,6,2928,31.26,44
1777915928,8,6,2928,29.44,44
1777915929,12,7,2926,29.68,44
1777915930,21,9,2927,29.69,44
1777915931,43,13,2927,29.90,44
1777915932,10,7,2927,29.47,44
1777915933,42,41,2927,23.19,43
1777915934,42,38,2926,20.94,43
1777915935,43,39,2926,21.55,43
1777915936,4,5,2926,31.59,44
1777915937,4,5,2926,35.21,44
1777915938,8,7,2926,30.35,44
1777915939,9,7,2926,27.95,43
1777915940,43,38,2926,20.75,43
1777915941,43,39,2926,20.81,43
1777915942,42,39,2926,20.94,43
1777915943,43,39,2926,21.03,43
1777915944,44,40,2926,24.58,43
1777915945,7,7,2926,30.37,44
1777915946,46,42,2926,24.69,43
1777915947,44,40,2926,20.92,43
1777915948,44,40,2926,21.10,43
1777915949,6,7,2926,26.05,44
1777915950,7,7,2926,30.11,44
1777915951,45,40,2926,22.82,43
1777915952,44,40,2926,21.00,43
1777915953,43,39,2926,21.00,43
1777915954,7,7,2926,25.97,43
1777915955,6,7,2926,30.07,43
1777915956,8,7,2926,29.48,43
1777915957,10,7,2926,29.27,43
1777915958,10,7,2926,29.28,43
1777915959,44,39,2926,20.87,43
1777915960,44,39,2926,20.74,43
1777915961,43,39,2926,20.83,43
1777915962,42,39,2926,20.88,43
1777915963,41,38,2926,21.17,43
1777915964,5,6,2926,29.21,43
1777915965,5,6,2926,30.00,43
1777915966,8,6,2926,29.36,43
1777915967,9,6,2926,29.34,43
1777915968,9,6,2926,29.27,43
1777915969,42,38,2926,22.36,43
1777915970,44,39,2926,20.61,43
