t_unix,interval_s,hz_inst
1777915708,0.0225854,44.2764
1777915708,0.0603819,16.5613
1777915708,0.0590673,16.9298
1777915708,0.0597158,16.7460
1777915708,0.0588497,16.9924
1777915708,0.0607078,16.4723
1777915708,0.0606143,16.4978
1777915708,0.0614202,16.2813
1777915708,0.060558,16.5131
1777915708,0.0604835,16.5334
1777915708,0.0589343,16.9680
1777915708,0.0586348,17.0547
1777915708,0.102478,9.7582
1777915709,0.0152117,65.7389
1777915709,0.0589673,16.9586
1777915709,0.0588098,17.0040
1777915709,0.0602317,16.6026
1777915709,0.0586108,17.0617
1777915709,0.0588054,17.0052
1777915709,0.0580653,17.2220
1777915709,0.0586336,17.0551
1777915709,0.0598078,16.7202
1777915709,0.0584122,17.1197
1777915709,0.0611949,16.3412
1777915709,0.0585745,17.0723
1777915709,0.0593081,16.8611
1777915709,0.0592643,16.8736
1777915709,0.0607988,16.4477
1777915709,0.0593838,16.8396
1777915709,0.0570758,17.5206
1777915710,0.0599273,16.6869
1777915710,0.0589021,16.9773
1777915710,0.0579837,17.2462
1777915710,0.0592699,16.8720
1777915710,0.058542,17.0818
1777915710,0.0585382,17.0829
1777915710,0.0589129,16.9742
1777915710,0.0589465,16.9645
1777915710,0.0644727,15.5104
1777915710,0.0608042,16.4462
1777915711,0.0585786,17.0711
1777915711,0.0606509,16.4878
1777915711,0.0573423,17.4391
1777915711,0.0606221,16.4956
1777915711,0.05745,17.4064
1777915711,0.0620484,16.1165
1777915711,0.0605277,16.5214
1777915711,0.0619008,16.1549
1777915711,0.0592344,16.8821
1777915711,0.0592608,16.8746
1777915711,0.0581472,17.1977
1777915711,0.0632218,15.8173
1777915711,0.0581078,17.2094
1777915711,0.0584889,17.0973
1777915711,0.0585533,17.0785
1777915711,0.0620833,16.1074
1777915711,0.059098,16.9210
1777915711,0.0587128,17.0321
1777915711,0.0589978,16.9498
1777915711,0.058323,17.1459
1777915712,0.0591521,16.9056
1777915712,0.0598727,16.7021
1777915712,0.0587632,17.0175
1777915712,0.0601059,16.6373
1777915712,0.0582139,17.1780
1777915712,0.0589919,16.9515
1777915712,0.0587227,17.0292
1777915712,0.0583609,17.1348
1777915712,0.0589441,16.9652
1777915712,0.060158,16.6229
1777915713,0.0587196,17.0301
1777915713,0.0584344,17.1132
1777915713,0.0584096,17.1205
1777915713,0.058786,17.0109
1777915713,0.0585302,17.0852
1777915713,0.0583766,17.1302
1777915713,0.0589334,16.9683
1777915713,0.0603173,16.5790
1777915713,0.0603155,16.5795
1777915713,0.0578496,17.2862
1777915713,0.0577478,17.3167
1777915713,0.0600366,16.6565
1777915713,0.0588357,16.9965
1777915713,0.0590821,16.9256
1777915713,0.0597534,16.7354
1777915713,0.0589097,16.9751
1777915714,0.0584972,17.0948
1777915714,0.0585853,17.0691
1777915714,0.0628506,15.9107
1777915714,0.0576228,17.3542
1777915714,0.0590493,16.9350
1777915714,0.0593511,16.8489
1777915714,0.0594781,16.8129
1777915714,0.0614038,16.2856
1777915714,0.0580618,17.2230
1777915714,0.0581405,17.1997
1777915714,0.0584296,17.1146
1777915714,0.0595918,16.7808
1777915714,0.0590028,16.9483
1777915714,0.0594956,16.8080
1777915715,0.0584915,17.0965
1777915715,0.0588871,16.9816
1777915715,0.0602775,16.5899
1777915715,0.0578109,17.2978
1777915715,0.0588096,17.0040
1777915715,0.0593263,16.8559
1777915715,0.0600302,16.6583
1777915715,0.0594979,16.8073
1777915715,0.0587928,17.0089
1777915715,0.0583732,17.1311
1777915716,0.0586819,17.0410
1777915716,0.0605834,16.5062
1777915716,0.0574511,17.4061
1777915716,0.0589677,16.9584
1777915716,0.0590494,16.9350
1777915716,0.0645684,15.4875
1777915716,0.0621611,16.0872
1777915716,0.0585263,17.0863
1777915716,0.0612127,16.3365
1777915716,0.058684,17.0404
1777915716,0.0586491,17.0506
1777915716,0.0615057,16.2587
1777915716,0.0589615,16.9602
1777915716,0.0582451,17.1688
1777915716,0.0595408,16.7952
1777915716,0.0591561,16.9044
1777915716,0.060117,16.6342
1777915716,0.0591792,16.8978
1777915716,0.0589988,16.9495
1777915716,0.0638048,15.6728
1777915717,0.0589275,16.9700
1777915717,0.061194,16.3415
1777915717,0.0590293,16.9407
1777915717,0.0607699,16.4555
1777915717,0.061281,16.3183
1777915717,0.0565719,17.6766
1777915717,0.0588917,16.9803
1777915717,0.0584499,17.1087
1777915717,0.0587981,17.0074
1777915717,0.0588169,17.0019
1777915718,0.055727,17.9446
1777915718,0.0591546,16.9049
1777915718,0.0592399,16.8805
1777915718,0.0608222,16.4414
1777915718,0.059683,16.7552
1777915718,0.0634567,15.7588
1777915718,0.0637181,15.6941
1777915718,0.0599093,16.6919
1777915718,0.0590705,16.9289
1777915718,0.0619148,16.1512
1777915718,0.0590997,16.9206
1777915718,0.0583315,17.1434
1777915718,0.0580922,17.2140
1777915718,0.0584119,17.1198
1777915718,0.0592414,16.8801
1777915718,0.0588749,16.9852
1777915719,0.0597449,16.7378
1777915719,0.0575329,17.3814
1777915719,0.0598416,16.7108
1777915719,0.0586164,17.0601
1777915719,0.0588905,16.9807
1777915719,0.0602098,16.6086
1777915719,0.0567707,17.6147
1777915719,0.0626661,15.9576
1777915719,0.0548175,18.2423
1777915719,0.0631914,15.8249
1777915719,0.0546585,18.2954
1777915719,0.0614015,16.2862
1777915719,0.0570558,17.5267
1777915719,0.0602404,16.6002
1777915720,0.062048,16.1166
1777915720,0.0560149,17.8524
1777915720,0.0596719,16.7583
1777915720,0.0611327,16.3579
1777915720,0.0615119,16.2570
1777915720,0.0565081,17.6966
1777915720,0.0612962,16.3142
1777915720,0.0594233,16.8284
1777915720,0.0583361,17.1420
1777915720,0.0593266,16.8558
1777915721,0.058629,17.0564
1777915721,0.0591114,16.9172
1777915721,0.0608609,16.4309
1777915721,0.0572636,17.4631
1777915721,0.0595023,16.8061
1777915721,0.0589181,16.9727
1777915721,0.0604873,16.5324
1777915721,0.0587049,17.0344
1777915721,0.058789,17.0100
1777915721,0.0586879,17.0393
1777915721,0.059071,16.9288
1777915721,0.0588681,16.9871
1777915721,0.0587021,17.0352
1777915721,0.0589764,16.9559
1777915721,0.0586165,17.0600
1777915721,0.0586251,17.0575
1777915721,0.0588627,16.9887
1777915721,0.0604516,16.5422
1777915721,0.0578387,17.2895
1777915721,0.0590889,16.9237
1777915722,0.0562159,17.7886
1777915722,0.0589603,16.9606
1777915722,0.0589088,16.9754
1777915722,0.0590804,16.9261
1777915722,0.0606309,16.4932
1777915722,0.0568746,17.5825
1777915722,0.0638979,15.6500
1777915722,0.0540584,18.4985
1777915722,0.0592005,16.8917
1777915722,0.0603674,16.5652
1777915723,0.0584559,17.1069
1777915723,0.0595764,16.7852
1777915723,0.058115,17.2073
1777915723,0.058773,17.0146
1777915723,0.0591277,16.9125
1777915723,0.0593592,16.8466
1777915723,0.0589807,16.9547
1777915723,0.0584782,17.1004
1777915723,0.0587254,17.0284
1777915723,0.0589991,16.9494
1777915723,0.0603706,16.5644
1777915723,0.0574431,17.4085
1777915723,0.0610592,16.3775
1777915723,0.0642294,15.5692
1777915723,0.0573754,17.4291
1777915723,0.0602354,16.6015
1777915723,0.0592546,16.8763
1777915723,0.0628782,15.9038
1777915723,0.0565766,17.6752
1777915723,0.0591129,16.9168
1777915724,0.0644118,15.5251
1777915724,0.0579882,17.2449
1777915724,0.0594961,16.8078
1777915724,0.0630572,15.8586
1777915724,0.0556752,17.9613
1777915724,0.0623409,16.0408
1777915724,0.0559281,17.8801
1777915724,0.0595093,16.8041
1777915724,0.0588706,16.9864
1777915724,0.0596132,16.7748
1777915725,0.059964,16.6767
1777915725,0.0584819,17.0993
1777915725,0.0624603,16.0102
1777915725,0.0558908,17.8920
1777915725,0.0594184,16.8298
1777915725,0.05924,16.8805
1777915725,0.0587758,17.0138
1777915725,0.059141,16.9087
1777915725,0.0593967,16.8360
1777915725,0.059951,16.6803
1777915726,0.0590901,16.9233
1777915726,0.0579161,17.2664
1777915726,0.0607645,16.4570
1777915726,0.0609716,16.4011
1777915726,0.0584658,17.1040
1777915726,0.0610187,16.3884
1777915726,0.0620536,16.1151
1777915726,0.0575327,17.3814
1777915726,0.0590352,16.9390
1777915726,0.0604627,16.5391
1777915726,0.058633,17.0552
1777915726,0.060865,16.4298
1777915726,0.0568159,17.6007
1777915726,0.058967,16.9586
1777915726,0.0590826,16.9255
1777915726,0.0584806,17.0997
1777915726,0.058743,17.0233
1777915726,0.0591487,16.9065
1777915726,0.0591377,16.9097
1777915726,0.0593958,16.8362
1777915727,0.0604826,16.5337
1777915727,0.0592265,16.8843
1777915727,0.0585862,17.0689
1777915727,0.0591745,16.8992
1777915727,0.0588332,16.9972
1777915727,0.0591117,16.9171
1777915727,0.0585636,17.0755
1777915727,0.0606629,16.4845
1777915727,0.0593391,16.8523
1777915727,0.0594597,16.8181
1777915728,0.0609759,16.3999
1777915728,0.0574589,17.4037
1777915728,0.0604805,16.5343
1777915728,0.0568734,17.5829
1777915728,0.0596089,16.7760
1777915728,0.0591614,16.9029
1777915728,0.0593856,16.8391
1777915728,0.0589977,16.9498
1777915728,0.0597244,16.7436
1777915728,0.0618203,16.1759
1777915728,0.0589148,16.9737
1777915728,0.0593112,16.8602
1777915728,0.0592367,16.8814
1777915728,0.0589726,16.9570
1777915728,0.0593539,16.8481
1777915728,0.0594435,16.8227
1777915728,0.0604748,16.5358
1777915728,0.0580749,17.2191
1777915728,0.0630748,15.8542
1777915728,0.055572,17.9947
1777915729,0.0561836,17.7988
1777915729,0.0634231,15.7671
1777915729,0.0559208,17.8824
1777915729,0.0590147,16.9449
1777915729,0.0593483,16.8497
1777915729,0.059258,16.8754
1777915729,0.0591857,16.8960
1777915729,0.0595002,16.8067
1777915729,0.0606493,16.4882
1777915729,0.0577085,17.3285
1777915730,0.0591444,16.9078
1777915730,0.0590642,16.9307
1777915730,0.0592799,16.8691
1777915730,0.0594163,16.8304
1777915730,0.0591434,16.9081
1777915730,0.0602502,16.5975
1777915730,0.0579889,17.2447
1777915730,0.0592221,16.8856
1777915730,0.0593369,16.8529
1777915730,0.0588102,17.0039
1777915731,0.0589415,16.9660
1777915731,0.05925,16.8776
1777915731,0.0602728,16.5912
1777915731,0.0580703,17.2205
1777915731,0.0590853,16.9247
1777915731,0.0592988,16.8637
1777915731,0.0590862,16.9244
1777915731,0.0593826,16.8399
1777915731,0.0592295,16.8835
1777915731,0.0590718,16.9286
1777915731,0.0581237,17.2047
1777915731,0.0592326,16.8826
1777915731,0.0592644,16.8735
1777915731,0.0591918,16.8942
1777915731,0.0595073,16.8047
1777915731,0.0609717,16.4011
1777915731,0.0578334,17.2910
1777915731,0.0596583,16.7621
1777915731,0.0595174,16.8018
1777915731,0.0593286,16.8553
1777915732,0.0596111,16.7754
1777915732,0.0657329,15.2131
1777915732,0.0581249,17.2043
1777915732,0.0597703,16.7307
1777915732,0.0609088,16.4180
1777915732,0.0577577,17.3137
1777915732,0.0596701,16.7588
1777915732,0.0588186,17.0014
1777915732,0.0592037,16.8908
1777915732,0.0602784,16.5897
1777915733,0.0589299,16.9693
1777915733,0.0594715,16.8148
1777915733,0.0594376,16.8244
1777915733,0.0602088,16.6089
1777915733,0.0610568,16.3782
1777915733,0.0581424,17.1992
1777915733,0.0631971,15.8235
1777915733,0.0594103,16.8321
1777915733,0.059676,16.7572
1777915733,0.0603459,16.5711
1777915733,0.0558954,17.8906
1777915733,0.0598084,16.7201
1777915733,0.0608513,16.4335
1777915733,0.0589001,16.9779
1777915733,0.0594568,16.8189
1777915733,0.0599764,16.6732
1777915733,0.058905,16.9765
1777915733,0.0591853,16.8961
1777915733,0.0588275,16.9989
1777915733,0.0607638,16.4572
1777915734,0.0591162,16.9158
1777915734,0.0593513,16.8488
1777915734,0.0594333,16.8256
1777915734,0.0592824,16.8684
1777915734,0.0594231,16.8285
1777915734,0.0592184,16.8866
1777915734,0.0599679,16.6756
1777915734,0.0584287,17.1149
1777915734,0.0593765,16.8417
1777915734,0.0598967,16.6954
1777915735,0.0659899,15.1538
1777915735,0.0576984,17.3315
1777915735,0.0593759,16.8418
1777915735,0.0588044,17.0055
1777915735,0.0593376,16.8527
1777915735,0.0589844,16.9536
1777915735,0.0593956,16.8363
1777915735,0.058999,16.9494
1777915735,0.0586269,17.0570
1777915735,0.0592522,16.8770
1777915736,0.0581767,17.1890
1777915736,0.0595252,16.7996
1777915736,0.0592743,16.8707
1777915736,0.0591124,16.9169
1777915736,0.0590799,16.9262
1777915736,0.0596843,16.7548
1777915736,0.0610891,16.3695
1777915736,0.0575933,17.3631
1777915736,0.0597712,16.7305
1777915736,0.0587644,17.0171
1777915736,0.0586213,17.0586
1777915736,0.0587662,17.0166
1777915736,0.0598393,16.7114
1777915736,0.0681661,14.6700
1777915736,0.0528205,18.9320
1777915736,0.0639376,15.6402
1777915736,0.0537407,18.6079
1777915736,0.0627255,15.9425
1777915736,0.0546353,18.3032
1777915736,0.0620953,16.1043
1777915737,0.0493913,20.2465
1777915737,0.0508534,19.6644
1777915737,0.0658207,15.1928
1777915737,0.0530456,18.8517
1777915737,0.0638681,15.6573
1777915737,0.054808,18.2455
1777915737,0.0620884,16.1061
1777915737,0.0580473,17.2273
1777915737,0.0602237,16.6048
1777915737,0.0647799,15.4369
1777915738,0.0556363,17.9739
1777915738,0.0611168,16.3621
1777915738,0.055611,17.9821
1777915738,0.0607807,16.4526
1777915738,0.0679501,14.7167
1777915738,0.0506979,19.7247
1777915738,0.0649286,15.4015
1777915738,0.0748604,13.3582
1777915738,0.0480408,20.8156
1777915738,0.06092,16.4150
