condition,metric,p25,p50,p75,n
main_ogre19,rtf_p50,0.10175446058485005,0.10197180893419155,0.1022306210356882,5
main_ogre19,rtf_p10,0.08372930316287443,0.08463498133781419,0.08738455025856401,5
main_ogre19,cam_hz_mean,3.0217575,3.0433155,3.07164,5
main_ogre19,cpu_p50_pct,107.0,107.0,107.0,5
main_ogre19,rss_peak_mb,3235.5234375,3235.63671875,3235.6484375,5
main_ogre19,gpu_util_p50_pct,15.0,20.5,24.0,5
main_ogre19,vram_peak_mb,3846.0,4180.0,4254.0,5
main_ogre19,power_p50_w,29.505,29.630000000000003,29.645000000000003,5
main_ogre19,io_w_p50_mb_s,0.0,0.0,0.0,5
ogre112,rtf_p50,0.07117989429928057,0.07304823871930659,0.07315090959498535,5
ogre112,rtf_p10,0.059428992768593286,0.060903791627047926,0.06130709244622484,5
ogre112,cam_hz_mean,2.2453446666666665,2.261598,2.2639726666666666,5
ogre112,cpu_p50_pct,107.0,107.0,107.0,5
ogre112,rss_peak_mb,3217.421875,3217.51171875,3217.59375,5
ogre112,gpu_util_p50_pct,26.0,27.0,28.0,5
ogre112,vram_peak_mb,4085.0,4121.0,4260.0,5
ogre112,power_p50_w,31.725,31.994999999999997,32.21,5
ogre112,io_w_p50_mb_s,0.0,0.0,0.0,5
