t_unix,sim_time_s,real_time_s,rtf,iterations,paused
1777904671,2.404000,15.337941,0.059917679100683574,2404,
1777904671,2.412000,15.439969,0.07169766300033498,2412,
1777904671,2.421000,15.550604,0.08451227249190604,2421,
1777904671,2.429000,15.656215,0.06636024161498531,2429,
1777904671,2.436000,15.762302,0.0651788082837051,2436,
1777904671,2.444000,15.874475,0.07909708463174493,2444,
1777904671,2.452000,15.984580,0.06085267621854898,2452,
1777904672,2.459000,16.085865,0.0820231569417141,2459,
1777904672,2.468000,16.197838,0.0758836863960963,2468,
1777904672,2.477000,16.306169,0.08504289393484285,2477,
1777904672,2.485000,16.415399,0.06975983154953956,2485,
1777904672,2.493000,16.529523,0.06919357927868185,2493,
1777904672,2.501000,16.635066,0.08252575690767407,2501,
1777904672,2.509000,16.738396,0.07088132205573697,2509,
1777904672,2.516000,16.849414,0.05996476470425978,2516,
1777904672,2.523000,16.952570,0.0793027071565142,2523,
1777904673,2.530000,17.060304,0.07492798109776835,2530,
1777904673,2.538000,17.166612,0.08354344509775419,2538,
1777904673,2.545000,17.272039,0.06391592550292086,2545,
1777904673,2.552000,17.374864,0.07384679551800168,2552,
1777904673,2.561000,17.484113,0.08552948825825527,2561,
1777904673,2.570000,17.590820,0.07863105225174959,2570,
1777904673,2.578000,17.699300,0.07297408434855487,2578,
1777904673,2.586000,17.805504,0.07952443117764867,2586,
1777904673,2.595000,17.916104,0.08599721162641022,2595,
1777904673,2.603000,18.020616,0.0796421391974159,2603,
1777904674,2.611000,18.128399,0.05895691770404311,2611,
1777904674,2.618000,18.231913,0.06172805212810546,2618,
1777904674,2.625000,18.345193,0.06699001855422544,2625,
1777904674,2.632000,18.457812,0.06325963354073848,2632,
1777904674,2.640000,18.569619,0.07154384901042694,2640,
1777904674,2.647000,18.671864,0.07031878034606966,2647,
1777904674,2.655000,18.779558,0.0723563032759461,2655,
1777904674,2.663000,18.883974,0.08009198404183236,2663,
1777904674,2.672000,18.991220,0.08083291529243974,2672,
1777904675,2.680000,19.091958,0.08168851466835729,2680,
1777904675,2.688000,19.195961,0.07575692149325378,2688,
1777904675,2.696000,19.304133,0.07470097572920478,2696,
1777904675,2.704000,19.413740,0.0735981665224756,2704,
1777904675,2.711000,19.529446,0.05639045699784989,2711,
1777904675,2.718000,19.632009,0.062451225592812014,2718,
1777904675,2.724000,19.732845,0.05823244610572555,2724,
1777904675,2.731000,19.835715,0.07737397076176918,2731,
