t_unix,gpu_util_pct,mem_util_pct,mem_used_mb,power_w,temp_c
1777916074,38,35,2920,20.29,41
1777916075,41,37,2926,20.47,42
1777916076,42,37,2926,20.69,42
1777916077,40,37,2926,20.84,41
1777916078,40,37,2926,20.68,41
1777916079,6,6,2926,24.33,42
1777916080,6,6,2926,29.88,42
1777916081,41,37,2926,24.56,41
1777916082,41,38,2926,20.88,41
1777916083,41,37,2926,20.91,41
1777916084,6,6,2926,22.73,42
1777916085,6,6,2926,30.19,42
1777916086,7,6,2926,29.87,42
1777916087,9,6,2926,29.24,42
1777916088,9,6,2926,29.22,42
1777916089,42,38,2926,23.11,41
1777916090,42,38,2926,20.65,41
1777916091,42,38,2926,20.70,41
1777916092,42,38,2926,20.91,41
1777916093,42,39,2926,20.78,41
1777916094,7,7,2926,27.46,42
1777916095,7,7,2926,29.87,42
1777916096,9,7,2926,29.27,42
1777916097,9,7,2926,29.19,42
1777916098,9,7,2926,29.17,42
1777916099,42,37,2926,24.23,41
1777916100,43,39,2926,20.92,41
1777916101,42,39,2926,20.83,41
1777916102,43,39,2926,20.66,41
1777916103,6,6,2926,24.25,42
1777916104,6,6,2926,29.82,42
1777916105,43,39,2926,24.88,41
1777916106,41,37,2926,20.61,41
1777916107,41,37,2926,20.74,41
1777916108,6,7,2926,24.04,41
1777916109,6,6,2926,29.69,42
1777916110,8,7,2926,29.40,42
1777916111,9,6,2926,29.12,41
1777916112,9,6,2926,29.06,42
1777916113,44,39,2926,27.57,41
1777916114,44,39,2926,20.39,41
1777916115,67,59,2928,21.49,41
1777916116,3,4,2928,40.89,43
1777916117,6,6,2928,40.74,42
1777916118,8,6,2928,29.44,42
1777916119,15,8,2926,29.25,42
1777916120,8,6,2926,29.36,42
1777916121,9,6,2926,29.21,42
1777916122,9,6,2926,29.17,42
1777916123,41,37,2926,24.05,41
1777916124,41,37,2926,20.67,41
1777916125,41,45,2926,20.77,41
1777916126,41,37,2926,20.85,41
1777916127,41,37,2926,20.70,41
1777916128,7,7,2926,24.34,42
1777916129,15,10,2837,30.42,42
1777916130,24,10,2852,31.30,42
1777916131,13,7,2852,34.46,43
1777916132,11,7,2850,44.77,43
1777916133,12,5,2850,43.63,43
1777916134,12,7,2850,44.72,43
1777916135,6,6,2848,34.07,42
1777916136,7,6,2848,29.29,42
1777916137,8,7,2848,29.18,42
1777916138,10,7,2848,29.11,42
1777916139,45,39,2848,21.56,42
1777916140,44,39,2848,20.83,42
1777916141,12,8,2882,30.11,43
1777916142,12,8,2886,45.45,43
1777916143,13,8,2941,45.20,43
1777916144,4,5,3024,44.66,43
1777916145,4,5,3024,43.98,43
1777916146,4,5,3024,43.19,43
1777916147,8,7,3024,33.49,42
1777916148,9,7,3024,29.13,42
1777916149,9,7,3024,29.08,42
1777916150,9,7,3024,29.20,42
1777916151,45,39,3024,21.64,42
1777916152,44,39,3024,20.95,42
1777916153,44,39,3024,20.91,42
