t_unix,pid,cpu_pct_user,cpu_pct_system,cpu_pct_total,rss_kb
1777907243,3470503,112.00,4.00,116.00,847728
1777907244,3470503,113.00,4.00,117.00,847728
1777907245,3470503,112.00,4.00,116.00,847728
1777907246,3470503,113.00,3.00,116.00,847728
1777907247,3470503,115.00,3.00,118.00,847728
1777907248,3470503,110.00,3.00,113.00,847728
1777907249,3470503,111.00,4.00,115.00,847728
1777907250,3470503,116.00,3.00,119.00,847728
1777907251,3470503,115.00,3.00,118.00,847728
1777907252,3470503,116.00,4.00,120.00,847728
1777907253,3470503,111.00,2.00,113.00,847728
1777907254,3470503,113.00,3.00,116.00,847728
1777907255,3470503,114.00,3.00,117.00,847728
1777907256,3470503,116.00,3.00,119.00,847728
1777907257,3470503,114.00,3.00,117.00,847728
1777907258,3470503,112.00,3.00,115.00,847728
1777907259,3470503,112.00,3.00,115.00,847728
1777907260,3470503,114.00,5.00,119.00,847728
1777907261,3470503,114.00,4.00,118.00,847728
1777907262,3470503,112.00,4.00,116.00,847728
1777907263,3470503,114.00,4.00,118.00,847728
1777907264,3470503,113.00,2.00,115.00,847728
1777907265,3470503,113.00,4.00,117.00,847728
1777907266,3470503,112.00,4.00,116.00,847728
1777907267,3470503,111.00,3.00,114.00,847728
1777907268,3470503,114.00,4.00,118.00,847728
1777907269,3470503,113.00,3.00,116.00,847728
1777907270,3470503,114.00,3.00,117.00,847728
1777907271,3470503,116.00,3.00,119.00,847728
1777907272,3470503,111.00,4.00,115.00,847728
1777907273,3470503,111.00,3.00,114.00,847728
1777907274,3470503,116.00,3.00,119.00,847728
1777907275,3470503,114.00,3.00,117.00,847728
1777907276,3470503,115.00,3.00,118.00,847728
1777907277,3470503,115.00,4.00,119.00,847728
1777907278,3470503,114.00,3.00,117.00,847728
1777907280,3470503,112.00,3.00,115.00,847728
1777907281,3470503,112.00,4.00,116.00,847728
1777907282,3470503,113.00,3.00,116.00,847728
1777907283,3470503,114.00,2.00,116.00,847728
1777907284,3470503,113.00,3.00,116.00,847728
1777907285,3470503,89.00,2.00,91.00,847728
1777907286,3470503,108.00,4.00,112.00,847728
1777907287,3470503,108.00,4.00,112.00,847728
1777907288,3470503,110.00,2.00,112.00,847728
1777907289,3470503,111.00,4.00,115.00,847728
1777907290,3470503,111.00,2.00,113.00,847728
1777907291,3470503,109.00,5.00,114.00,847728
1777907292,3470503,111.00,2.00,113.00,847728
1777907293,3470503,110.00,3.00,113.00,847728
1777907294,3470503,112.00,4.00,116.00,847728
1777907295,3470503,111.00,4.00,115.00,847728
1777907296,3470503,110.00,4.00,114.00,847728
1777907297,3470503,110.00,3.00,113.00,847728
1777907298,3470503,112.00,4.00,116.00,847728
1777907299,3470503,110.00,3.00,113.00,847728
1777907300,3470503,107.00,3.00,110.00,847728
1777907301,3470503,110.00,3.00,113.00,847728
1777907302,3470503,112.00,3.00,115.00,847728
1777907303,3470503,112.00,3.00,115.00,847728
1777907304,3470503,114.00,4.00,118.00,847728
1777907305,3470503,114.00,3.00,117.00,847728
1777907306,3470503,113.00,4.00,117.00,847728
1777907307,3470503,115.00,3.00,118.00,847728
1777907308,3470503,114.00,3.00,117.00,847728
1777907309,3470503,111.00,3.00,114.00,847728
1777907310,3470503,113.00,4.00,117.00,847728
1777907311,3470503,113.00,4.00,117.00,847728
1777907312,3470503,115.00,2.00,117.00,847728
1777907313,3470503,114.00,4.00,118.00,847728
1777907314,3470503,114.00,3.00,117.00,847728
1777907315,3470503,113.00,3.00,116.00,847728
1777907316,3470503,111.00,3.00,114.00,847728
1777907317,3470503,113.00,3.00,116.00,847728
1777907318,3470503,113.00,3.00,116.00,847728
1777907319,3470503,115.00,4.00,119.00,847728
1777907320,3470503,115.00,3.00,118.00,847728
1777907321,3470503,112.00,3.00,115.00,847728
1777907322,3470503,112.00,2.00,114.00,847728
