t_unix,device,r_iops,w_iops,r_mb_s,w_mb_s,util_pct
1777915605,loop0,0.00,0.00,0.000,0.000,0.00
1777915605,loop1,0.00,0.00,0.000,0.000,0.00
1777915605,loop10,0.00,0.00,0.000,0.000,0.00
1777915605,loop11,0.00,0.00,0.000,0.000,0.00
1777915605,loop12,0.00,0.00,0.000,0.000,0.00
1777915605,loop13,0.00,0.00,0.000,0.000,0.00
1777915605,loop14,0.00,0.00,0.000,0.000,0.00
1777915605,loop15,0.00,0.00,0.000,0.000,0.00
1777915605,loop16,0.00,0.00,0.000,0.000,0.00
1777915605,loop17,0.00,0.00,0.000,0.000,0.00
1777915605,loop18,0.00,0.00,0.000,0.000,0.00
1777915605,loop19,0.00,0.00,0.000,0.000,0.00
1777915605,loop2,0.00,0.00,0.000,0.000,0.00
1777915605,loop20,0.00,0.00,0.000,0.000,0.00
1777915605,loop21,0.00,0.00,0.000,0.000,0.00
1777915605,loop22,0.00,0.00,0.000,0.000,0.00
1777915605,loop23,0.00,0.00,0.000,0.000,0.00
1777915605,loop24,0.00,0.00,0.000,0.000,0.00
1777915605,loop25,0.00,0.00,0.000,0.000,0.00
1777915605,loop26,0.00,0.00,0.000,0.000,0.00
1777915605,loop27,0.00,0.00,0.000,0.000,0.00
1777915605,loop28,0.00,0.00,0.000,0.000,0.00
1777915605,loop29,0.00,0.00,0.000,0.000,0.00
1777915605,loop3,0.00,0.00,0.000,0.000,0.00
1777915605,loop30,0.00,0.00,0.000,0.000,0.00
1777915605,loop31,0.00,0.00,0.000,0.000,0.00
1777915605,loop32,0.00,0.00,0.000,0.000,0.00
1777915605,loop33,0.00,0.00,0.000,0.000,0.00
1777915605,loop34,0.00,0.00,0.000,0.000,0.00
1777915605,loop35,0.00,0.00,0.000,0.000,0.00
1777915605,loop36,0.00,0.00,0.000,0.000,0.00
1777915605,loop37,0.00,0.00,0.000,0.000,0.00
1777915605,loop38,0.00,0.00,0.000,0.000,0.00
1777915605,loop39,0.00,0.00,0.000,0.000,0.00
1777915605,loop4,0.00,0.00,0.000,0.000,0.00
1777915605,loop40,0.00,0.00,0.000,0.000,0.00
1777915605,loop5,0.00,0.00,0.000,0.000,0.00
1777915605,loop6,0.00,0.00,0.000,0.000,0.00
1777915605,loop7,0.00,0.00,0.000,0.000,0.00
1777915605,loop8,0.00,0.00,0.000,0.000,0.00
1777915605,loop9,0.00,0.00,0.000,0.000,0.00
1777915605,nvme0n1,0.00,0.00,0.000,0.000,0.00
1777915606,loop0,0.00,0.00,0.000,0.000,0.00
1777915606,loop1,0.00,0.00,0.000,0.000,0.00
1777915606,loop10,0.00,0.00,0.000,0.000,0.00
1777915606,loop11,0.00,0.00,0.000,0.000,0.00
1777915606,loop12,0.00,0.00,0.000,0.000,0.00
1777915606,loop13,0.00,0.00,0.000,0.000,0.00
1777915606,loop14,0.00,0.00,0.000,0.000,0.00
1777915606,loop15,0.00,0.00,0.000,0.000,0.00
1777915606,loop16,0.00,0.00,0.000,0.000,0.00
1777915606,loop17,0.00,0.00,0.000,0.000,0.00
1777915606,loop18,0.00,0.00,0.000,0.000,0.00
1777915606,loop19,0.00,0.00,0.000,0.000,0.00
1777915606,loop2,0.00,0.00,0.000,0.000,0.00
1777915606,loop20,0.00,0.00,0.000,0.000,0.00
1777915606,loop21,0.00,0.00,0.000,0.000,0.00
1777915606,loop22,0.00,0.00,0.000,0.000,0.00
1777915606,loop23,0.00,0.00,0.000,0.000,0.00
1777915606,loop24,0.00,0.00,0.000,0.000,0.00
1777915606,loop25,0.00,0.00,0.000,0.000,0.00
1777915606,loop26,0.00,0.00,0.000,0.000,0.00
1777915606,loop27,0.00,0.00,0.000,0.000,0.00
1777915606,loop28,0.00,0.00,0.000,0.000,0.00
1777915606,loop29,0.00,0.00,0.000,0.000,0.00
1777915606,loop3,0.00,0.00,0.000,0.000,0.00
1777915606,loop30,0.00,0.00,0.000,0.000,0.00
1777915606,loop31,0.00,0.00,0.000,0.000,0.00
1777915606,loop32,0.00,0.00,0.000,0.000,0.00
1777915606,loop33,0.00,0.00,0.000,0.000,0.00
1777915606,loop34,0.00,0.00,0.000,0.000,0.00
1777915606,loop35,0.00,0.00,0.000,0.000,0.00
1777915606,loop36,0.00,0.00,0.000,0.000,0.00
1777915606,loop37,0.00,0.00,0.000,0.000,0.00
1777915606,loop38,0.00,0.00,0.000,0.000,0.00
1777915606,loop39,0.00,0.00,0.000,0.000,0.00
1777915606,loop4,0.00,0.00,0.000,0.000,0.00
1777915606,loop40,0.00,0.00,0.000,0.000,0.00
1777915606,loop5,0.00,0.00,0.000,0.000,0.00
1777915606,loop6,0.00,0.00,0.000,0.000,0.00
1777915606,loop7,0.00,0.00,0.000,0.000,0.00
1777915606,loop8,0.00,0.00,0.000,0.000,0.00
1777915606,loop9,0.00,0.00,0.000,0.000,0.00
1777915606,nvme0n1,0.00,0.00,0.000,0.000,0.00
1777915607,loop0,0.00,0.00,0.000,0.000,0.00
1777915607,loop1,0.00,0.00,0.000,0.000,0.00
1777915607,loop10,0.00,0.00,0.000,0.000,0.00
1777915607,loop11,0.00,0.00,0.000,0.000,0.00
1777915607,loop12,0.00,0.00,0.000,0.000,0.00
1777915607,loop13,0.00,0.00,0.000,0.000,0.00
1777915607,loop14,0.00,0.00,0.000,0.000,0.00
1777915607,loop15,0.00,0.00,0.000,0.000,0.00
1777915607,loop16,0.00,0.00,0.000,0.000,0.00
1777915607,loop17,0.00,0.00,0.000,0.000,0.00
1777915607,loop18,0.00,0.00,0.000,0.000,0.00
1777915607,loop19,0.00,0.00,0.000,0.000,0.00
1777915607,loop2,0.00,0.00,0.000,0.000,0.00
1777915607,loop20,0.00,0.00,0.000,0.000,0.00
1777915607,loop21,0.00,0.00,0.000,0.000,0.00
1777915607,loop22,0.00,0.00,0.000,0.000,0.00
1777915607,loop23,0.00,0.00,0.000,0.000,0.00
1777915607,loop24,0.00,0.00,0.000,0.000,0.00
1777915607,loop25,0.00,0.00,0.000,0.000,0.00
1777915607,loop26,0.00,0.00,0.000,0.000,0.00
1777915607,loop27,0.00,0.00,0.000,0.000,0.00
1777915607,loop28,0.00,0.00,0.000,0.000,0.00
1777915607,loop29,0.00,0.00,0.000,0.000,0.00
1777915607,loop3,0.00,0.00,0.000,0.000,0.00
1777915607,loop30,0.00,0.00,0.000,0.000,0.00
1777915607,loop31,0.00,0.00,0.000,0.000,0.00
1777915607,loop32,0.00,0.00,0.000,0.000,0.00
1777915607,loop33,0.00,0.00,0.000,0.000,0.00
1777915607,loop34,0.00,0.00,0.000,0.000,0.00
1777915607,loop35,0.00,0.00,0.000,0.000,0.00
1777915607,loop36,0.00,0.00,0.000,0.000,0.00
1777915607,loop37,0.00,0.00,0.000,0.000,0.00
1777915607,loop38,0.00,0.00,0.000,0.000,0.00
1777915607,loop39,0.00,0.00,0.000,0.000,0.00
1777915607,loop4,0.00,0.00,0.000,0.000,0.00
1777915607,loop40,0.00,0.00,0.000,0.000,0.00
1777915607,loop5,0.00,0.00,0.000,0.000,0.00
1777915607,loop6,0.00,0.00,0.000,0.000,0.00
1777915607,loop7,0.00,0.00,0.000,0.000,0.00
1777915607,loop8,0.00,0.00,0.000,0.000,0.00
1777915607,loop9,0.00,0.00,0.000,0.000,0.00
1777915607,nvme0n1,0.00,0.00,0.000,0.000,0.00
1777915608,loop0,0.00,0.00,0.000,0.000,0.00
1777915608,loop1,0.00,0.00,0.000,0.000,0.00
1777915608,loop10,0.00,0.00,0.000,0.000,0.00
1777915608,loop11,0.00,0.00,0.000,0.000,0.00
1777915608,loop12,0.00,0.00,0.000,0.000,0.00
1777915608,loop13,0.00,0.00,0.000,0.000,0.00
1777915608,loop14,0.00,0.00,0.000,0.000,0.00
1777915608,loop15,0.00,0.00,0.000,0.000,0.00
1777915608,loop16,0.00,0.00,0.000,0.000,0.00
1777915608,loop17,0.00,0.00,0.000,0.000,0.00
1777915608,loop18,0.00,0.00,0.000,0.000,0.00
1777915608,loop19,0.00,0.00,0.000,0.000,0.00
1777915608,loop2,0.00,0.00,0.000,0.000,0.00
1777915608,loop20,0.00,0.00,0.000,0.000,0.00
1777915608,loop21,0.00,0.00,0.000,0.000,0.00
1777915608,loop22,0.00,0.00,0.000,0.000,0.00
1777915608,loop23,0.00,0.00,0.000,0.000,0.00
1777915608,loop24,0.00,0.00,0.000,0.000,0.00
1777915608,loop25,0.00,0.00,0.000,0.000,0.00
1777915608,loop26,0.00,0.00,0.000,0.000,0.00
1777915608,loop27,0.00,0.00,0.000,0.000,0.00
1777915608,loop28,0.00,0.00,0.000,0.000,0.00
1777915608,loop29,0.00,0.00,0.000,0.000,0.00
1777915608,loop3,0.00,0.00,0.000,0.000,0.00
1777915608,loop30,0.00,0.00,0.000,0.000,0.00
1777915608,loop31,0.00,0.00,0.000,0.000,0.00
1777915608,loop32,0.00,0.00,0.000,0.000,0.00
1777915608,loop33,0.00,0.00,0.000,0.000,0.00
1777915608,loop34,0.00,0.00,0.000,0.000,0.00
1777915608,loop35,0.00,0.00,0.000,0.000,0.00
1777915608,loop36,0.00,0.00,0.000,0.000,0.00
1777915608,loop37,0.00,0.00,0.000,0.000,0.00
1777915608,loop38,0.00,0.00,0.000,0.000,0.00
1777915608,loop39,0.00,0.00,0.000,0.000,0.00
1777915608,loop4,0.00,0.00,0.000,0.000,0.00
1777915608,loop40,0.00,0.00,0.000,0.000,0.00
1777915608,loop5,0.00,0.00,0.000,0.000,0.00
1777915608,loop6,0.00,0.00,0.000,0.000,0.00
1777915608,loop7,0.00,0.00,0.000,0.000,0.00
1777915608,loop8,0.00,0.00,0.000,0.000,0.00
1777915608,loop9,0.00,0.00,0.000,0.000,0.00
1777915608,nvme0n1,0.00,0.00,0.000,0.000,1.60
1777915609,loop0,0.00,0.00,0.000,0.000,0.00
1777915609,loop1,0.00,0.00,0.000,0.000,0.00
1777915609,loop10,0.00,0.00,0.000,0.000,0.00
1777915609,loop11,0.00,0.00,0.000,0.000,0.00
1777915609,loop12,0.00,0.00,0.000,0.000,0.00
1777915609,loop13,0.00,0.00,0.000,0.000,0.00
1777915609,loop14,0.00,0.00,0.000,0.000,0.00
1777915609,loop15,0.00,0.00,0.000,0.000,0.00
1777915609,loop16,0.00,0.00,0.000,0.000,0.00
1777915609,loop17,0.00,0.00,0.000,0.000,0.00
1777915609,loop18,0.00,0.00,0.000,0.000,0.00
1777915609,loop19,0.00,0.00,0.000,0.000,0.00
1777915609,loop2,0.00,0.00,0.000,0.000,0.00
1777915609,loop20,0.00,0.00,0.000,0.000,0.00
1777915609,loop21,0.00,0.00,0.000,0.000,0.00
1777915609,loop22,0.00,0.00,0.000,0.000,0.00
1777915609,loop23,0.00,0.00,0.000,0.000,0.00
1777915609,loop24,0.00,0.00,0.000,0.000,0.00
1777915609,loop25,0.00,0.00,0.000,0.000,0.00
1777915609,loop26,0.00,0.00,0.000,0.000,0.00
1777915609,loop27,0.00,0.00,0.000,0.000,0.00
1777915609,loop28,0.00,0.00,0.000,0.000,0.00
1777915609,loop29,0.00,0.00,0.000,0.000,0.00
1777915609,loop3,0.00,0.00,0.000,0.000,0.00
1777915609,loop30,0.00,0.00,0.000,0.000,0.00
1777915609,loop31,0.00,0.00,0.000,0.000,0.00
1777915609,loop32,0.00,0.00,0.000,0.000,0.00
1777915609,loop33,0.00,0.00,0.000,0.000,0.00
