t_unix,gpu_util_pct,mem_util_pct,mem_used_mb,power_w,temp_c
1777915524,6,6,2976,30.12,46
1777915525,41,11,2979,30.92,46
1777915526,8,6,2979,29.80,46
1777915527,27,10,3013,31.30,46
1777915528,41,12,3017,32.43,46
1777915529,44,11,2977,32.19,46
1777915530,31,11,3007,31.86,46
1777915531,33,13,2962,32.47,46
1777915532,32,12,3008,31.21,46
1777915533,34,12,3000,32.24,46
1777915534,20,10,3000,32.46,46
1777915535,29,12,3000,32.24,46
1777915536,9,7,3004,30.34,46
1777915537,7,7,3021,32.71,47
1777915538,4,4,3005,44.06,47
1777915539,9,5,3005,42.06,47
1777915540,6,7,3031,31.77,46
1777915541,8,7,3031,30.73,46
1777915542,27,10,3031,30.22,46
1777915543,17,8,3031,30.02,46
1777915544,10,7,3031,30.87,46
1777915545,10,7,3031,30.30,46
1777915546,26,9,3031,30.54,46
1777915547,10,7,3031,30.23,46
1777915548,9,7,3031,30.70,46
1777915549,10,7,3031,31.26,47
1777915550,15,8,3031,31.33,46
1777915551,15,8,3031,30.85,46
1777915552,22,9,3031,30.27,46
1777915553,17,8,3031,30.16,46
1777915554,9,7,3031,29.96,46
1777915555,9,7,3031,30.63,46
1777915556,9,7,3031,30.63,46
1777915557,9,7,3031,30.84,46
1777915558,31,11,3031,32.52,46
1777915559,8,7,3031,31.07,46
1777915560,10,6,3031,29.93,46
1777915561,17,7,3031,30.54,46
1777915562,8,6,3031,30.34,46
1777915563,9,6,3031,30.60,46
1777915564,9,6,3013,30.75,46
1777915565,9,6,3013,30.19,46
1777915566,13,6,3013,30.05,46
1777915567,8,6,3013,30.16,46
1777915568,17,7,3013,30.33,46
1777915569,16,7,3013,30.32,46
1777915570,27,9,3013,30.70,46
1777915571,38,10,3013,31.30,46
1777915572,35,10,3013,30.89,46
1777915573,36,11,3013,31.11,46
1777915574,39,11,3014,30.93,46
1777915575,68,13,3014,32.19,46
1777915576,35,12,3014,32.83,46
1777915577,26,11,3234,34.75,47
1777915578,3,4,3190,43.36,47
1777915579,4,4,3198,39.92,46
1777915580,28,12,3103,32.95,46
1777915581,28,12,3104,32.52,46
1777915582,6,6,3050,31.41,46
1777915583,8,6,3050,30.20,46
1777915584,17,9,3102,30.58,46
1777915585,27,8,3022,30.56,46
1777915586,8,7,3022,29.38,46
1777915587,10,7,3022,31.38,46
1777915588,11,9,3021,31.35,46
1777915589,8,7,3021,29.47,46
1777915590,10,7,3021,29.44,46
1777915591,10,7,3021,29.46,46
1777915592,10,7,3021,29.42,46
1777915593,9,6,3021,27.83,45
1777915594,44,39,3021,20.83,45
1777915595,46,41,3021,20.88,45
1777915596,46,41,3021,21.05,45
1777915597,44,40,3021,21.03,45
1777915598,8,7,3021,26.55,46
1777915599,7,7,3021,30.94,46
1777915600,9,7,3021,29.94,45
1777915601,11,7,3021,29.39,46
1777915602,10,7,3021,27.86,45
1777915603,43,39,3021,20.77,45
