t_unix,interval_s,hz_inst
1777915524,0.00171596,582.7642
1777915524,0.06413,15.5933
1777915524,0.0581952,17.1835
1777915524,0.0559365,17.8774
1777915524,0.0588117,17.0034
1777915524,0.0581725,17.1903
1777915524,0.0589093,16.9752
1777915524,0.0579678,17.2510
1777915524,0.0585438,17.0812
1777915524,0.0581461,17.1981
1777915525,0.0607065,16.4727
1777915525,0.0607176,16.4697
1777915525,0.122786,8.1443
1777915525,6.384,0.1566
1777915525,0.0549205,18.2081
1777915525,0.0590972,16.9213
1777915525,0.0589855,16.9533
1777915525,0.0593969,16.8359
1777915525,0.0580719,17.2200
1777915525,0.0596173,16.7737
1777915526,0.0590679,16.9297
1777915526,0.0575724,17.3694
1777915526,0.0590962,16.9216
1777915526,0.0576961,17.3322
1777915526,0.0589955,16.9504
1777915526,0.0583009,17.1524
1777915526,0.0585399,17.0824
1777915526,0.0593146,16.8593
1777915526,0.0589257,16.9705
1777915526,0.0597482,16.7369
1777915526,0.061057,16.3781
1777915526,0.0626828,15.9533
1777915526,0.0591248,16.9134
1777915526,0.0594612,16.8177
1777915526,0.0630235,15.8671
1777915526,0.055679,17.9601
1777915526,0.0592967,16.8643
1777915526,0.0610601,16.3773
1777915526,0.0565518,17.6829
1777915526,0.0594143,16.8310
1777915527,0.0605018,16.5284
1777915527,0.0611021,16.3660
1777915527,0.0574492,17.4067
1777915527,0.059773,16.7300
1777915527,0.0604989,16.5292
1777915527,0.0608938,16.4220
1777915527,0.0591008,16.9202
1777915527,0.0591405,16.9089
1777915527,0.0589943,16.9508
1777915527,0.0592069,16.8899
1777915528,0.0583063,17.1508
1777915528,0.0617373,16.1977
1777915528,0.0574355,17.4108
1777915528,0.0587831,17.0117
1777915528,0.0653914,15.2925
1777915528,0.0571094,17.5103
1777915528,0.0638064,15.6724
1777915528,0.0672294,14.8744
1777915528,0.0559331,17.8785
1777915528,0.05938,16.8407
1777915529,0.0604657,16.5383
1777915529,0.0596277,16.7707
1777915529,0.0593779,16.8413
1777915529,0.0578853,17.2755
1777915529,0.0609953,16.3947
1777915529,0.057879,17.2774
1777915529,0.0586253,17.0575
1777915529,0.0594189,16.8297
1777915529,0.0599654,16.6763
1777915529,0.0619021,16.1545
1777915529,0.0596572,16.7624
1777915529,0.059551,16.7923
1777915529,0.0596134,16.7748
1777915529,0.0615227,16.2542
1777915529,0.0598156,16.7180
1777915529,0.0575823,17.3664
1777915529,0.0604829,16.5336
1777915529,0.0565863,17.6721
1777915529,0.0643461,15.5410
1777915529,0.0646701,15.4631
1777915530,0.0691233,14.4669
1777915530,0.0655134,15.2641
1777915530,0.0655635,15.2524
1777915530,0.0687632,14.5427
1777915530,0.0724253,13.8073
1777915530,0.0668556,14.9576
1777915530,0.0615218,16.2544
1777915530,0.0626561,15.9601
1777915530,0.0670673,14.9104
1777915530,0.0647436,15.4455
1777915531,0.0728509,13.7267
1777915531,0.0661249,15.1229
1777915531,0.0634607,15.7578
1777915531,0.0597515,16.7360
1777915531,0.0592079,16.8896
1777915531,0.0644695,15.5112
1777915531,0.0558124,17.9172
1777915531,0.0607562,16.4592
1777915531,0.0575825,17.3664
1777915531,0.0589659,16.9590
1777915532,0.0589194,16.9723
1777915532,0.058531,17.0850
1777915532,0.0608144,16.4435
1777915532,0.0596492,16.7647
1777915532,0.0619467,16.1429
1777915532,0.0719182,13.9047
1777915532,0.0595497,16.7927
1777915532,0.0583808,17.1289
1777915532,0.0579591,17.2535
1777915532,0.0585891,17.0680
1777915532,0.0593596,16.8465
1777915532,0.059615,16.7743
1777915532,0.060059,16.6503
1777915532,0.0597494,16.7366
1777915532,0.0576224,17.3544
1777915532,0.0605008,16.5287
1777915532,0.0575672,17.3710
1777915532,0.0599042,16.6933
1777915532,0.0586361,17.0543
1777915532,0.0591964,16.8929
1777915533,0.0596566,16.7626
