condition,metric,p25,p50,p75,n
main_ogre19,rtf_p50,0.011450627037481636,0.011480382064819042,0.01187625551718241,5
main_ogre19,rtf_p10,0.010186603344073297,0.010321657450886264,0.01114100842577926,5
main_ogre19,cam_hz_mean,0.34492,0.351785,0.36422,5
main_ogre19,cpu_p50_pct,105.0,105.0,105.0,5
main_ogre19,rss_peak_mb,18337.76171875,18338.25390625,18338.3125,5
main_ogre19,gpu_util_p50_pct,14.5,15.0,20.5,5
main_ogre19,vram_peak_mb,2142.0,2366.0,2402.0,5
main_ogre19,power_p50_w,29.314999999999998,30.675,31.165,5
main_ogre19,io_w_p50_mb_s,0.0,0.0,0.0,5
ogre112,rtf_p50,0.011498761826553742,0.011539498855665773,0.01155705403804566,5
ogre112,rtf_p10,0.01054983315643078,0.0106125769419322,0.010622133110550516,5
ogre112,cam_hz_mean,0.349915,0.35493,0.35574,5
ogre112,cpu_p50_pct,105.0,105.0,105.0,5
ogre112,rss_peak_mb,18278.984375,18279.07421875,18279.234375,5
ogre112,gpu_util_p50_pct,15.5,16.5,23.5,5
ogre112,vram_peak_mb,2792.0,3032.0,3270.0,5
ogre112,power_p50_w,29.555,30.23,30.275,5
ogre112,io_w_p50_mb_s,0.0,0.0,0.0,5
