t_unix,gpu_util_pct,mem_util_pct,mem_used_mb,power_w,temp_c
1777916441,32,11,2712,33.36,46
1777916442,38,13,2720,34.03,47
1777916443,37,13,2720,33.46,46
1777916444,30,11,2720,33.63,46
1777916445,37,13,2716,34.21,47
1777916446,28,13,2718,35.09,46
1777916447,17,9,2717,49.59,48
1777916448,15,8,2721,56.85,49
1777916449,25,11,2721,40.12,47
1777916450,25,11,2721,33.59,47
1777916451,32,12,2721,33.73,47
1777916452,29,11,2721,33.67,47
1777916453,28,11,2721,33.38,46
1777916454,31,11,2721,33.25,47
1777916455,33,12,2721,33.49,47
1777916456,36,12,2721,33.53,46
1777916457,36,13,2721,33.65,47
1777916458,37,13,2721,33.71,47
1777916459,37,13,2721,33.58,46
1777916460,38,13,2721,33.54,46
1777916461,39,13,2721,33.48,47
1777916462,39,13,2721,33.53,46
1777916463,35,12,2721,33.38,46
1777916464,33,11,2721,33.22,46
1777916465,37,13,2721,33.56,46
1777916466,41,13,2721,33.51,46
1777916467,41,13,2721,33.44,46
1777916468,36,12,2721,33.37,46
1777916469,41,13,2721,33.41,46
1777916470,43,13,2721,33.51,46
1777916471,35,12,2721,33.29,46
1777916472,41,13,2721,33.40,46
1777916473,40,13,2721,33.48,46
1777916474,37,13,2721,33.63,46
1777916475,39,13,2721,33.59,46
1777916476,40,13,2721,33.60,46
1777916477,41,13,2721,33.69,46
1777916478,36,12,2721,33.23,46
1777916479,41,13,2721,33.56,46
1777916480,39,13,2721,33.47,46
1777916481,39,12,2721,33.40,46
1777916482,40,13,2721,33.57,46
1777916483,39,12,2721,33.58,46
1777916484,37,13,2721,33.54,46
1777916485,41,13,2721,33.69,46
1777916486,40,13,2721,33.73,46
1777916487,38,12,2721,33.69,46
1777916488,38,13,2721,33.68,46
1777916489,36,12,2721,33.57,46
1777916490,37,12,2721,33.29,46
1777916491,32,11,2721,33.31,46
1777916492,35,12,2721,33.60,46
1777916493,36,12,2721,33.47,46
1777916494,35,12,2721,33.29,46
1777916495,36,12,2721,33.48,46
1777916496,37,12,2721,33.34,46
1777916497,37,12,2721,33.38,46
1777916498,39,12,2721,33.44,46
1777916499,37,11,2721,33.05,46
1777916500,37,12,2721,33.46,46
1777916501,38,13,2721,33.59,46
1777916502,37,13,2721,33.56,46
1777916503,38,13,2721,33.50,46
1777916504,36,12,2721,33.54,46
1777916505,37,12,2721,33.63,46
1777916506,38,13,2721,33.41,46
1777916507,35,12,2721,33.48,46
1777916508,33,11,2721,33.04,46
1777916509,33,11,2628,32.93,46
1777916510,42,13,2628,33.50,46
1777916511,40,13,2628,33.42,46
1777916512,40,13,2628,33.56,46
1777916513,40,13,2628,33.61,46
1777916514,39,13,2628,33.43,46
1777916515,42,13,2627,33.58,46
1777916516,39,13,2627,33.56,46
1777916517,41,13,2627,33.53,46
1777916518,33,12,2627,33.18,46
1777916519,37,12,2627,33.46,46
1777916520,40,13,2627,33.60,46
