t_unix,gpu_util_pct,mem_util_pct,mem_used_mb,power_w,temp_c
1777903572,9,6,4067,29.26,44
1777903573,11,7,4175,29.79,44
1777903574,9,6,4097,29.55,44
1777903575,12,7,4097,29.16,44
1777903576,44,38,4097,21.98,44
1777903577,42,38,4097,20.35,44
1777903578,43,38,4097,20.26,44
1777903579,42,37,4097,20.32,44
1777903580,42,37,4097,20.42,44
1777903581,42,38,4097,20.41,44
1777903582,42,38,4097,20.39,44
1777903583,41,37,4097,20.39,44
1777903584,43,38,4097,20.39,44
1777903585,41,36,4097,20.46,44
1777903586,42,38,4097,20.41,44
1777903587,39,35,4097,20.40,44
1777903588,41,37,4097,20.41,43
1777903589,40,35,4097,20.42,44
1777903590,41,37,4097,20.27,44
1777903591,38,34,4097,20.41,43
1777903592,37,33,4097,20.32,43
1777903593,37,33,4097,20.35,43
1777903594,49,43,4097,20.74,43
1777903595,100,85,4097,21.82,44
1777903596,3,3,4097,46.41,45
1777903597,16,9,4097,48.96,44
1777903598,29,14,4100,30.99,44
1777903599,6,6,4100,29.78,44
1777903600,6,6,4145,29.33,44
1777903601,17,10,4142,31.12,44
1777903602,7,6,4142,30.73,44
1777903603,7,6,4142,29.56,44
1777903604,7,6,4142,29.58,44
1777903605,7,6,4142,29.30,44
1777903606,43,39,4142,27.15,44
1777903607,41,37,4142,20.98,43
1777903608,42,37,4142,20.77,43
1777903609,42,38,4142,20.95,43
1777903610,40,37,4180,20.86,43
1777903611,4,4,4099,31.96,45
1777903612,5,4,4099,43.30,45
1777903613,9,8,4099,34.97,44
1777903614,8,6,4099,29.27,44
1777903615,26,11,4177,29.17,44
1777903616,44,40,4099,28.64,44
1777903617,43,38,4100,20.47,43
1777903618,42,38,4100,20.83,43
1777903619,43,38,4100,20.45,43
1777903620,43,39,4100,20.32,43
1777903621,50,44,4098,20.86,43
1777903622,41,38,4176,20.53,43
1777903623,8,7,4176,28.27,44
1777903624,4,4,4098,36.13,44
1777903625,7,6,4098,31.95,44
1777903626,10,6,4098,29.01,44
1777903627,8,6,4098,28.97,43
1777903628,42,38,4098,22.81,43
1777903629,43,37,4098,20.31,43
1777903630,39,35,4098,20.31,43
1777903631,41,37,4098,20.31,43
1777903632,43,38,4098,20.34,43
1777903633,39,35,4098,20.42,43
1777903634,40,35,4098,20.36,43
1777903635,41,37,4098,20.30,43
1777903636,37,34,4098,20.29,43
1777903637,40,36,4098,20.28,43
1777903638,40,36,4098,20.22,43
1777903639,40,36,4098,20.23,43
1777903640,40,36,4098,20.24,43
1777903641,41,36,4098,20.33,43
1777903642,41,36,4098,20.38,43
1777903643,40,36,4098,20.28,43
1777903644,40,36,4098,20.26,43
1777903645,40,36,4098,20.17,43
1777903646,41,37,4098,20.20,43
1777903647,40,36,4098,20.19,43
1777903648,40,36,4098,20.13,43
1777903649,40,36,4098,20.13,43
1777903650,41,36,4098,20.28,43
1777903651,41,36,4098,20.41,42
