t_unix,gpu_util_pct,mem_util_pct,mem_used_mb,power_w,temp_c
1777901623,6,6,2101,45.44,45
1777901624,23,21,2134,45.91,46
1777901625,30,18,2131,39.53,45
1777901626,6,7,2077,31.83,44
1777901627,7,7,2077,29.51,44
1777901628,17,9,2077,30.46,44
1777901629,38,16,2050,32.35,45
1777901630,24,13,2049,32.26,45
1777901631,37,15,2049,31.70,45
1777901632,41,16,2007,31.30,44
1777901633,37,17,2060,33.87,45
1777901634,15,10,2088,32.42,45
1777901635,6,6,2088,30.34,44
1777901636,16,9,2088,30.50,44
1777901637,43,18,2100,33.44,45
1777901638,40,18,2072,34.28,45
1777901639,6,6,2072,31.95,44
1777901640,33,14,2070,31.56,44
1777901641,35,13,2100,31.19,44
1777901642,41,17,2101,32.42,45
1777901643,5,5,2101,30.35,44
1777901644,21,7,2101,30.39,45
1777901645,40,16,2071,32.12,45
1777901646,5,5,2071,31.05,44
1777901647,37,16,2052,32.04,45
1777901648,13,8,2090,33.03,44
1777901649,5,5,2084,31.10,44
1777901650,44,17,2106,31.15,45
1777901651,6,6,2105,32.38,44
1777901652,6,6,2105,30.56,44
1777901653,6,6,2105,29.46,44
1777901654,7,6,2105,30.64,44
1777901655,7,6,2105,29.52,44
1777901656,7,6,2105,30.01,44
1777901657,3,4,2095,37.79,45
1777901658,9,6,2131,44.78,45
1777901659,4,6,2131,35.16,44
1777901660,6,6,2131,29.57,44
1777901661,6,6,2131,29.22,44
1777901662,7,6,2128,29.74,44
1777901663,7,6,2128,29.22,44
1777901664,71,58,2129,24.20,44
1777901665,41,37,2129,21.42,44
1777901666,41,24,2142,28.38,45
1777901667,6,6,2142,31.59,44
1777901668,6,7,2125,31.54,44
1777901669,7,7,2125,29.69,44
1777901670,7,7,2125,29.42,44
1777901671,8,7,2125,29.16,44
1777901672,43,39,2125,26.56,44
1777901673,50,39,2125,20.32,44
1777901674,42,38,2125,20.53,44
1777901675,42,38,2125,20.47,44
1777901676,42,38,2125,20.51,44
1777901677,41,37,2125,20.43,44
1777901678,40,36,2124,20.77,44
1777901679,40,36,2124,20.59,44
1777901680,41,37,2124,20.62,44
1777901681,90,78,2127,21.18,44
1777901682,3,4,2125,42.36,45
1777901683,38,31,2127,42.96,45
1777901684,14,9,2125,33.18,44
1777901685,23,11,2125,30.63,44
1777901686,26,11,2125,30.45,44
1777901687,24,9,2125,30.57,44
1777901688,22,8,2125,30.70,44
1777901689,17,7,2125,30.60,44
1777901690,20,8,2125,30.64,44
1777901691,25,9,2125,30.68,44
1777901692,27,9,2125,30.67,44
1777901693,24,7,2125,30.58,44
1777901694,23,8,2125,30.66,44
1777901695,19,8,2125,30.60,44
1777901696,27,10,2125,30.71,44
1777901697,40,23,2127,32.34,44
1777901698,67,41,2127,31.92,44
1777901699,37,31,2127,34.23,44
1777901700,6,6,2125,32.69,44
1777901701,49,35,2127,32.93,44
1777901702,16,9,2127,31.20,44
